OBJECTID,NAME,PLZ,GPLZ,CANTON,CANTON_NR,BFSNR,CASES,SUBMISSIONS,FRACTION,POPULATION_AGGREGATED,SUBMISSIONS_PER_100K,CASES_PER_100K,Shape__Area,Shape__Length
1,Lausanne,1000,1000,VD,22,5586,2,199,0.0100502512562814,3014,6602.52157,66.357,24439962.6513672,28430.2256180777
2,Lausanne,1003,1000,VD,22,5586,11,333,0.033033033033033,7230,4605.80913,152.14385,1623471.23999023,8055.83970189205
3,Lausanne,1004,1000,VD,22,5586,14,1255,0.0111553784860558,31050,4041.86795,45.08857,4855422.69604492,11908.0767584013
4,Lausanne,1005,1000,VD,22,5586,6,600,0.01,10047,5971.93192,59.71932,3292204.84130859,13467.544452713
5,Lausanne,1006,1000,VD,22,5586,9,641,0.0140405616224649,15749,4070.09969,57.14649,14198246.1176758,25763.370542067
6,Lausanne,1007,1000,VD,22,5586,11,843,0.0130486358244365,24117,3495.45963,45.61098,52542331.1352539,35496.0494488784
7,Prilly,1008,1000,VD,22,5589,3,442,0.00678733031674208,14023,3151.96463,21.39343,9039797.43798828,17503.6555922685
8,Pully,1009,1000,VD,22,5590,5,729,0.00685871056241427,18327,3977.73776,27.28215,31337237.3684082,29597.3442943855
9,Lausanne,1010,1000,VD,22,5586,4,403,0.00992555831265509,14670,2747.10293,27.26653,5293818.34838867,13044.8934941855
10,Lausanne,1011,1000,VD,22,5586,0,0,0,281,0,0,265568.194824219,2267.12109472574
11,Lausanne,1012,1000,VD,22,5586,2,410,0.0048780487804878,11332,3618.07271,17.64914,4429319.46875,11185.1464877655
12,Lausanne,1015,1000,VD,22,5635,0,0,0,0,0,0,2679076.67138672,10816.8073082115
13,Lausanne,1018,1000,VD,22,5586,5,487,0.0102669404517454,20588,2365.45561,24.28599,7161302.234375,14870.5441899473
14,Renens VD 1 Distribution,1020,1020,VD,22,5591,9,490,0.0183673469387755,20548,2384.66031,43.79988,6201646.9206543,11839.9924709632
15,Chavannes-près-Renens,1022,1022,VD,22,5627,0,272,0,8231,3304.58025,0,3252103.61132813,10203.1502903929
16,Crissier 1,1023,1023,VD,22,5583,3,210,0.0142857142857143,7530,2788.84462,39.84064,11075019.7207031,16556.8797769868
17,Ecublens VD,1024,1024,VD,22,5635,3,405,0.00740740740740741,13459,3009.13887,22.28992,10324015.3452148,21193.6635162389
18,St-Sulpice VD,1025,1025,VD,22,5648,3,204,0.0147058823529412,4637,4399.39616,64.697,50082055.8044434,30044.2797029157
19,Echandens-Denges,1026,1026,VD,22,5633,2,201,0.00995024875621891,4304,4670.07435,46.4684,11599443.3659668,19317.5875113147
20,Lonay,1027,1027,VD,22,5638,1,102,0.00980392156862745,2684,3800.29806,37.25782,7845952.93969727,13355.935359025
21,Préverenges,1028,1028,VD,22,5643,2,241,0.00829875518672199,5217,4619.51313,38.33621,20892012.5939941,25997.6647827092
22,Villars-Ste-Croix,1029,1029,VD,22,5651,0,0,0,963,0,0,3500910.28979492,9250.43714352234
23,Bussigny,1030,1030,VD,22,5624,8,284,0.028169014084507,8747,3246.82748,91.45993,10182330.3322754,16598.9212927694
24,Mex VD,1031,1031,VD,22,5489,0,0,0,733,0,0,6059004.20385742,13254.9462996736
25,Romanel-sur-Lausanne,1032,1032,VD,22,5592,2,98,0.0204081632653061,3595,2726.00834,55.63282,12184100.9506836,19935.6196586996
26,Cheseaux-sur-Lausanne,1033,1033,VD,22,5582,0,171,0,4564,3746.71341,0,13571631.8764648,18465.0290041328
27,Boussens,1034,1034,VD,22,5473,0,0,0,970,0,0,6698830.97583008,11773.6140737155
28,Bournens,1035,1035,VD,22,5472,0,0,0,404,0,0,8249407.44042969,13657.9965630696
29,Sullens,1036,1036,VD,22,5501,0,56,0,1051,5328.2588,0,8252260.58666992,15615.879675086
30,Etagnières,1037,1037,VD,22,5521,2,56,0.0357142857142857,1117,5013.42883,179.05103,7994194.62207031,12310.5045751181
31,Bercher,1038,1038,VD,22,5512,0,56,0,1258,4451.51033,0,9027930.89404297,15208.4087423784
32,St-Barthélemy VD,1040,1040,VD,22,5535,1,224,0.00446428571428571,7765,2884.73921,12.8783,37771070.1140137,45324.8445850098
33,Poliez-le-Grand,1041,1041,VD,22,5540,3,149,0.0201342281879195,3609,4128.56747,83.12552,49078923.4802246,42465.8367679394
34,Bioley-Orjulaz,1042,1042,VD,22,5513,2,81,0.0246913580246914,2156,3756.95733,92.76438,25862523.0080566,30970.1421854574
35,Sugnens,1043,1043,VD,22,5540,0,0,0,427,0,0,5676948.13891602,10236.2806154668
36,Fey,1044,1044,VD,22,5522,0,0,0,746,0,0,15607256.8706055,19077.0327503426
37,Ogens,1045,1045,VD,22,5680,0,0,0,318,0,0,7432329.51025391,13366.5905367674
38,Rueyres,1046,1046,VD,22,5534,0,0,0,255,0,0,4342478.56884766,10526.8691929092
