date,country,hospitalized_with_symptoms,intensive_care,total_hospitalized,home_confinment,total_currently_positive,new_positive,recovered,deaths,total_positive,tests_performed
2020-03-06,CH,0,0,0,0,206,206,0,0,0,0
2020-03-07,CH,0,0,0,0,261,55,0,0,0,0
2020-03-08,CH,0,0,0,0,325,64,0,0,0,0
2020-03-09,CH,0,0,0,0,365,40,0,1,0,0
2020-03-10,CH,0,0,0,0,496,131,0,2,0,0
2020-03-11,CH,0,0,0,0,626,130,0,2,0,0
2020-03-12,CH,0,0,0,0,855,229,0,2,0,0
2020-03-13,CH,0,0,0,0,1156,301,0,5,0,0
2020-03-14,CH,0,0,0,0,1446,290,0,6,0,0
2020-03-15,CH,0,0,0,0,700,-746,0,17,0,0
2020-03-16,CH,0,0,0,0,1944,1244,0,24,0,0
2020-03-17,CH,0,0,0,0,2378,434,0,16,0,0
2020-03-18,CH,0,0,0,0,3674,1296,0,31,0,0
2020-03-19,CH,0,0,0,0,4954,1280,0,39,0,0
2020-03-20,CH,0,0,0,0,6249,1295,0,37,0,0
2020-03-21,CH,0,0,0,0,6319,70,0,82,0,0
2020-03-22,CH,0,0,0,0,1372,-4947,0,91,0,0
