date,country,hospitalized_with_symptoms,intensive_care,total_hospitalized,home_confinment,total_currently_positive,new_positive,recovered,deaths,total_positive,tests_performed
2020-03-06,CH,0,0,0,0,207,0,0,0,0,0
2020-03-07,CH,0,0,0,0,262,0,0,0,0,0
2020-03-08,CH,0,0,0,0,331,0,0,0,0,0
2020-03-09,CH,0,0,0,0,372,0,0,0,0,0
2020-03-10,CH,0,0,0,0,490,0,0,0,0,0
2020-03-11,CH,0,0,0,0,638,0,0,0,0,0
2020-03-12,CH,0,0,0,0,851,0,0,0,0,0
2020-03-13,CH,0,0,0,0,1122,0,0,0,0,0
2020-03-14,CH,0,0,0,0,1357,0,0,0,0,0
2020-03-15,CH,0,0,0,0,2155,0,0,0,0,0
2020-03-16,CH,0,0,0,0,2327,0,0,0,0,0
2020-03-17,CH,0,0,0,0,2650,0,0,0,0,0
2020-03-18,CH,0,0,0,0,3028,0,0,0,0,0
2020-03-19,CH,0,0,0,0,3855,0,0,0,0,0
