date,country,hospitalized_with_symptoms,intensive_care,total_hospitalized,home_confinment,total_currently_positive,new_positive,recovered,deaths,total_positive,tests_performed
2020-03-06 00:00:00,CH,0,0,0,0,207,0,0,0,0,0
2020-03-07 00:00:00,CH,0,0,0,0,262,0,0,0,0,0
2020-03-08 00:00:00,CH,0,0,0,0,331,0,0,0,0,0
2020-03-09 00:00:00,CH,0,0,0,0,372,0,0,0,0,0
2020-03-10 00:00:00,CH,0,0,0,0,490,0,0,0,0,0
2020-03-11 00:00:00,CH,0,0,0,0,638,0,0,0,0,0
2020-03-12 00:00:00,CH,0,0,0,0,851,0,0,0,0,0
2020-03-13 00:00:00,CH,0,0,0,0,1122,0,0,1,0,0
2020-03-14 00:00:00,CH,0,0,0,0,1357,0,0,1,0,0
2020-03-15 00:00:00,CH,0,0,0,0,2155,0,0,3,0,0
2020-03-16 00:00:00,CH,0,0,0,0,2327,0,0,6,0,0
2020-03-17 00:00:00,CH,0,0,0,0,2650,0,0,7,0,0
2020-03-18 00:00:00,CH,0,0,0,0,3513,0,0,21,0,0
2020-03-19 00:00:00,CH,0,0,0,0,4804,0,0,26,0,0
2020-03-20 00:00:00,CH,0,0,0,0,6128,0,0,56,0,0
2020-03-21 00:00:00,CH,0,0,0,0,6590,0,0,70,0,0
