date,country,tests_performed,total_currently_positive,total_positive,new_positive,home_confinment,total_hospitalized,hospitalized_with_symptoms,intensive_care,recovered,deaths
2020-03-06,CH,0,208,208,,0,0,0,0,0,0
2020-03-07,CH,0,263,263,55,0,0,0,0,0,0
2020-03-08,CH,0,328,328,65,0,0,0,0,0,0
2020-03-09,CH,0,376,376,48,0,0,0,0,0,1
2020-03-10,CH,0,505,505,129,0,0,0,0,0,2
2020-03-11,CH,0,639,639,134,0,0,0,0,0,2
2020-03-12,CH,0,883,883,244,0,0,0,0,0,2
2020-03-13,CH,0,1225,1225,342,0,0,0,0,0,5
2020-03-14,CH,0,1532,1532,307,0,0,0,0,0,11
2020-03-15,CH,0,2155,2155,623,0,0,0,0,0,17
2020-03-16,CH,0,2327,2327,172,0,0,0,0,0,24
2020-03-17,CH,0,2650,2650,323,0,0,0,0,0,26
2020-03-18,CH,0,3796,3796,1146,0,0,0,0,0,33
2020-03-19,CH,0,5089,5089,1293,0,0,0,0,0,40
2020-03-20,CH,0,6391,6391,1302,0,0,0,0,0,52
2020-03-21,CH,0,7354,7354,963,0,0,0,0,0,83
2020-03-22,CH,0,8120,8120,766,0,0,0,0,0,95
2020-03-23,CH,0,9358,9358,1238,0,0,0,0,0,116
2020-03-24,CH,0,9896,9896,538,0,0,0,0,0,131
