,last_update,timestamp,tests_performed,abbreviation_canton,name_canton,number_canton,lat,long,total_positive_cases,total_currently_positive_cases,new_hosp,new_positive_cases,new_deaths,total_hospitalized,intensive_care,total_currently_positive_per_100k,ncumul_ICU_intub,deaths_per_100k,released,deaths,ncumul_vent,ncumul_confirmed_non_resident,current_hosp_non_resident,TotalPosTests1,ninst_ICU_intub,ncumul_ICF,ncumul_deceased_suspect,source,doubling_time_total_positive,doubling_time_fatalities
12,2020-04-16 10:04:26,2020-02-28 02:00:00,,BL,Basel-Landschaft,13,47.45176,7.702414,1,1,,0,0,,,0.35,0,,,,,,,,,,,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/medienmitteilungen/neuer-coronavirus-covid-19-erster-bestaetigter-fall-aus-dem-kanton-basel-landschaft,0.0,0.0
20,2020-04-16 10:04:26,2020-02-29 02:00:00,,BL,Basel-Landschaft,13,47.45176,7.702414,2,2,,0,0,1,,0.7,0,,,,,,,,,,,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/medienmitteilungen/weiterer-bestaetigter-fall-aus-dem-kanton-basel-landschaft,0.0,0.0
29,2020-04-16 10:04:26,2020-03-01 02:00:00,,BL,Basel-Landschaft,13,47.45176,7.702414,2,2,,0,0,1,,0.7,0,,,,,,,,,,,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/medienmitteilungen/weiterer-bestaetigter-fall-aus-dem-kanton-basel-landschaft,0.0,0.0
42,2020-04-16 10:04:26,2020-03-02 02:00:00,,BL,Basel-Landschaft,13,47.45176,7.702414,2,2,,0,0,1,,0.7,0,,,,,,,,,,,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/medienmitteilungen/weiterer-bestaetigter-fall-aus-dem-kanton-basel-landschaft,0.0,0.0
54,2020-04-16 10:04:26,2020-03-03 02:00:00,,BL,Basel-Landschaft,13,47.45176,7.702414,2,2,,0,0,1,,0.7,0,,,,,,,,,,,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/medienmitteilungen/weiterer-bestaetigter-fall-aus-dem-kanton-basel-landschaft,0.0,0.0
68,2020-04-16 10:04:26,2020-03-04 02:00:00,,BL,Basel-Landschaft,13,47.45176,7.702414,2,2,,0,0,1,,0.7,0,,,,,,,,,,,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/medienmitteilungen/weiterer-bestaetigter-fall-aus-dem-kanton-basel-landschaft,5.0,0.0
84,2020-04-16 10:04:26,2020-03-05 02:00:00,,BL,Basel-Landschaft,13,47.45176,7.702414,6,6,,0,0,1,,2.09,0,,,,,,,,,,,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/medienmitteilungen/neuer-coronavirus-covid-19-sechs-bestaetigte-faelle-im-kanton-basel-landschaft,3.154649,0.0
98,2020-04-16 10:04:26,2020-03-06 02:00:00,,BL,Basel-Landschaft,13,47.45176,7.702414,6,6,,0,0,4,2,2.09,0,,,,,,,,,,,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/medienmitteilungen/neuer-coronavirus-covid-19-sechs-bestaetigte-faelle-im-kanton-basel-landschaft,3.154649,0.0
111,2020-04-16 10:04:26,2020-03-07 02:00:00,,BL,Basel-Landschaft,13,47.45176,7.702414,15,15,,0,0,4,2,5.23,0,,,,,,,,,,,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/medienmitteilungen/update-15-bestaetigte-faelle-in-basel-landschaft,1.720051,0.0
119,2020-04-16 10:04:26,2020-03-08 02:00:00,,BL,Basel-Landschaft,13,47.45176,7.702414,19,19,,0,0,4,2,6.62,0,0.348,,1,,,,,,,,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/medienmitteilungen/patient-im-kantonsspital-baselland-stirbt-an-den-folgen-einer-coronavirus-infektion,1.539443,0.0
132,2020-04-16 10:04:26,2020-03-09 02:00:00,,BL,Basel-Landschaft,13,47.45176,7.702414,20,20,,0,0,4,4,6.97,0,0.348,1,1,,,,,,,,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/medienmitteilungen/update-xx-bestaetigte-faelle-in-basel-landschaft,1.50515,0.0
144,2020-04-16 10:04:26,2020-03-10 02:00:00,,BL,Basel-Landschaft,13,47.45176,7.702414,22,22,,0,0,5,1,7.67,0,0.348,2,1,,,,,,,,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/medienmitteilungen/update,2.667422,0.0
155,2020-04-16 10:04:26,2020-03-11 02:00:00,,BL,Basel-Landschaft,13,47.45176,7.702414,26,26,,0,0,3,1,9.06,0,0.697,2,2,,,,,,,,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/medienmitteilungen/update-26-bestaetigte-faelle-in-basel-landschaft-1,2.363533,0.0
169,2020-04-16 10:04:26,2020-03-12 02:00:00,,BL,Basel-Landschaft,13,47.45176,7.702414,26,26,,0,0,9,3,9.06,0,0.697,2,2,,,,,,,,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/medienmitteilungen/update-26-bestaetigte-faelle-in-basel-landschaft-1,6.300807,0.0
183,2020-04-16 10:04:26,2020-03-13 02:00:00,,BL,Basel-Landschaft,13,47.45176,7.702414,42,42,,0,0,12,3,14.63,0,0.697,2,2,,,,,,,,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/medienmitteilungen/update-26-bestaetigte-faelle-in-basel-landschaft-2,4.36914,5.0
197,2020-04-16 10:04:26,2020-03-14 02:00:00,,BL,Basel-Landschaft,13,47.45176,7.702414,47,47,,0,0,8,2,16.38,0,0.697,2,2,,,,,,,,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/medienmitteilungen/update-47-bestaetigte-faelle-in-basel-landschaft,4.056266,5.0
210,2020-04-16 10:04:26,2020-03-15 02:00:00,,BL,Basel-Landschaft,13,47.45176,7.702414,54,54,,0,0,12,2,18.82,0,0.697,5,2,,,,,,,,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/medienmitteilungen/update-54-bestaetigte-faelle-in-basel-landschaft,3.859645,5.0
224,2020-04-16 10:04:26,2020-03-16 02:00:00,,BL,Basel-Landschaft,13,47.45176,7.702414,76,76,,0,0,17,4,26.48,0,0.697,5,2,,,,,,,,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/medienmitteilungen/update-67-bestaetigte-faelle-in-basel-landschaft,3.231043,
238,2020-04-16 10:04:26,2020-03-17 02:00:00,,BL,Basel-Landschaft,13,47.45176,7.702414,89,89,,0,0,26,5,31.01,0,0.697,13,2,,,,,,,,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/medienmitteilungen/update-89-bestaetigte-faelle-in-basel-landschaft,2.816435,
