,last_update,timestamp,tests_performed,abbreviation_canton,name_canton,number_canton,lat,long,total_positive_cases,total_currently_positive_cases,new_hosp,total_hospitalized,intensive_care,total_currently_positive_per_100k,deaths_per_100k,released,ncumul_ICU_intub,deaths,ncumul_vent,current_isolated,current_quarantined,TotalPosTests1,ninst_ICU_intub,ncumul_confirmed_non_resident,current_hosp_non_resident,ncumul_ICF,new_positive_cases,new_deaths,source,doubling_time_total_positive,doubling_time_fatalities
38,2020-07-13 05:05:32,2020-02-27 02:00:00,3,FL,Fürstentum Lichtenstein,00,47.166667,9.509722,,,0,,,,,,0,,,,,,,,,,0,0,https://www.regierung.li/media/attachments/83-verdachtsfaelle-negativ-getestet.pdf?t=637202562374055719,0.0,0.0
68,2020-07-13 05:05:32,2020-03-01 02:00:00,3,FL,Fürstentum Lichtenstein,00,47.166667,9.509722,0,0,0,,,0.0,,,0,,,,,,,,,,0,0,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf,0.0,0.0
83,2020-07-13 05:05:32,2020-03-02 02:00:00,3,FL,Fürstentum Lichtenstein,00,47.166667,9.509722,0,0,0,,,0.0,,,0,,,,,,,,,,0,0,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf,0.0,0.0
98,2020-07-13 05:05:32,2020-03-03 02:00:00,14,FL,Fürstentum Lichtenstein,00,47.166667,9.509722,1,1,0,,,2.59,,,0,,,,,,,,,,1,0,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf,0.0,0.0
113,2020-07-13 05:05:32,2020-03-04 02:00:00,16,FL,Fürstentum Lichtenstein,00,47.166667,9.509722,1,1,0,,,2.59,,,0,,,,,,,,,,0,0,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf,0.0,0.0
131,2020-07-13 05:05:32,2020-03-05 02:00:00,18,FL,Fürstentum Lichtenstein,00,47.166667,9.509722,1,1,0,,,2.59,,,0,,,,,,,,,,0,0,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf,0.0,0.0
147,2020-07-13 05:05:32,2020-03-06 02:00:00,22,FL,Fürstentum Lichtenstein,00,47.166667,9.509722,1,1,0,,,2.59,,,0,,,,,,,,,,0,0,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf,0.0,0.0
164,2020-07-13 05:05:32,2020-03-07 02:00:00,22,FL,Fürstentum Lichtenstein,00,47.166667,9.509722,1,1,0,,,2.59,,,0,,,,,,,,,,0,0,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf,0.0,0.0
178,2020-07-13 05:05:32,2020-03-08 02:00:00,22,FL,Fürstentum Lichtenstein,00,47.166667,9.509722,1,1,0,,,2.59,,,0,,,,,,,,,,0,0,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf,,0.0
195,2020-07-13 05:05:32,2020-03-09 02:00:00,24,FL,Fürstentum Lichtenstein,00,47.166667,9.509722,1,1,0,,,2.59,,,0,,,,,,,,,,0,0,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf,,0.0
