,last_update,timestamp,tests_performed,abbreviation_canton,name_canton,number_canton,lat,long,total_positive_cases,total_currently_positive_cases,new_hosp,total_hospitalized,intensive_care,total_currently_positive_per_100k,deaths_per_100k,released,ncumul_ICU_intub,deaths,ncumul_vent,ncumul_confirmed_non_resident,current_hosp_non_resident,TotalPosTests1,ninst_ICU_intub,ncumul_ICF,new_positive_cases,new_deaths,source,doubling_time_total_positive,doubling_time_fatalities
7,2020-05-19 04:03:42,2020-02-27 02:00:00,,JU,Jura,26,47.350744,7.156107,1,1,0,1,0,1.36,0.0,,0,0,,,,,,,0,0,https://www.jura.ch/Htdocs/Files/v/34481.xlsx/Departements/CHA/SIC/Carrousel/Coronavirus/Cornavirus/Chiffres/donnees_18_05.xlsx?download=1,0.0,0.0
15,2020-05-19 04:03:42,2020-02-28 02:00:00,,JU,Jura,26,47.350744,7.156107,1,1,0,1,0,1.36,0.0,,0,0,,,,,,,0,0,https://www.jura.ch/Htdocs/Files/v/34481.xlsx/Departements/CHA/SIC/Carrousel/Coronavirus/Cornavirus/Chiffres/donnees_18_05.xlsx?download=1,0.0,0.0
23,2020-05-19 04:03:42,2020-02-29 02:00:00,,JU,Jura,26,47.350744,7.156107,1,1,0,1,0,1.36,0.0,,0,0,,,,,,,0,0,https://www.jura.ch/Htdocs/Files/v/34481.xlsx/Departements/CHA/SIC/Carrousel/Coronavirus/Cornavirus/Chiffres/donnees_18_05.xlsx?download=1,0.0,0.0
34,2020-05-19 04:03:42,2020-03-01 02:00:00,,JU,Jura,26,47.350744,7.156107,1,1,0,1,0,1.36,0.0,,0,0,,,,,,,0,0,https://www.jura.ch/Htdocs/Files/v/34481.xlsx/Departements/CHA/SIC/Carrousel/Coronavirus/Cornavirus/Chiffres/donnees_18_05.xlsx?download=1,0.0,0.0
47,2020-05-19 04:03:42,2020-03-02 02:00:00,,JU,Jura,26,47.350744,7.156107,1,1,0,1,0,1.36,0.0,,0,0,,,,,,,0,0,https://www.jura.ch/Htdocs/Files/v/34481.xlsx/Departements/CHA/SIC/Carrousel/Coronavirus/Cornavirus/Chiffres/donnees_18_05.xlsx?download=1,0.0,0.0
60,2020-05-19 04:03:42,2020-03-03 02:00:00,,JU,Jura,26,47.350744,7.156107,2,2,0,1,0,2.73,0.0,,0,0,,,,,,,1,0,https://www.jura.ch/Htdocs/Files/v/34481.xlsx/Departements/CHA/SIC/Carrousel/Coronavirus/Cornavirus/Chiffres/donnees_18_05.xlsx?download=1,5.0,0.0
75,2020-05-19 04:03:42,2020-03-04 02:00:00,,JU,Jura,26,47.350744,7.156107,2,2,0,1,0,2.73,0.0,,0,0,,,,,,,0,0,https://www.jura.ch/Htdocs/Files/v/34481.xlsx/Departements/CHA/SIC/Carrousel/Coronavirus/Cornavirus/Chiffres/donnees_18_05.xlsx?download=1,5.0,0.0
92,2020-05-19 04:03:42,2020-03-05 02:00:00,,JU,Jura,26,47.350744,7.156107,4,4,1,2,0,5.46,0.0,,0,0,,,,,,,2,0,https://www.jura.ch/Htdocs/Files/v/34481.xlsx/Departements/CHA/SIC/Carrousel/Coronavirus/Cornavirus/Chiffres/donnees_18_05.xlsx?download=1,2.5,0.0
106,2020-05-19 04:03:42,2020-03-06 02:00:00,,JU,Jura,26,47.350744,7.156107,4,4,3,5,0,5.46,0.0,,0,0,,,,,,,0,0,https://www.jura.ch/Htdocs/Files/v/34481.xlsx/Departements/CHA/SIC/Carrousel/Coronavirus/Cornavirus/Chiffres/donnees_18_05.xlsx?download=1,2.5,0.0
120,2020-05-19 04:03:42,2020-03-07 02:00:00,,JU,Jura,26,47.350744,7.156107,5,5,0,5,0,6.82,0.0,,0,0,,,,,,,1,0,https://www.jura.ch/Htdocs/Files/v/34481.xlsx/Departements/CHA/SIC/Carrousel/Coronavirus/Cornavirus/Chiffres/donnees_18_05.xlsx?download=1,2.153383,0.0
132,2020-05-19 04:03:42,2020-03-08 02:00:00,,JU,Jura,26,47.350744,7.156107,5,5,0,5,0,6.82,0.0,,0,0,,,,,,,0,0,https://www.jura.ch/Htdocs/Files/v/34481.xlsx/Departements/CHA/SIC/Carrousel/Coronavirus/Cornavirus/Chiffres/donnees_18_05.xlsx?download=1,3.782354,0.0
147,2020-05-19 04:03:42,2020-03-09 02:00:00,,JU,Jura,26,47.350744,7.156107,7,7,0,5,0,9.55,0.0,,0,0,,,,,,,2,0,https://www.jura.ch/Htdocs/Files/v/34481.xlsx/Departements/CHA/SIC/Carrousel/Coronavirus/Cornavirus/Chiffres/donnees_18_05.xlsx?download=1,2.766474,0.0
160,2020-05-19 04:03:42,2020-03-10 02:00:00,,JU,Jura,26,47.350744,7.156107,7,7,0,5,0,9.55,0.0,,0,0,,,,,,,0,0,https://www.jura.ch/Htdocs/Files/v/34481.xlsx/Departements/CHA/SIC/Carrousel/Coronavirus/Cornavirus/Chiffres/donnees_18_05.xlsx?download=1,6.193063,0.0
