,last_update,timestamp,tests_performed,abbreviation_canton,name_canton,number_canton,lat,long,total_positive_cases,total_currently_positive_cases,new_hosp,total_hospitalized,intensive_care,total_currently_positive_per_100k,deaths_per_100k,released,ncumul_ICU_intub,deaths,ncumul_vent,current_isolated,current_quarantined,current_quarantined_riskareatravel,current_quarantined_total,TotalPosTests1,ninst_ICU_intub,ncumul_ICF,ncumul_confirmed_non_resident,current_hosp_non_resident,current_hosp_resident,new_positive_cases,new_deaths,source,doubling_time_total_positive,doubling_time_fatalities
232,2020-09-09 19:06:17,2020-03-11 02:00:00,,NW,Nidwalden,07,46.926755,8.405302,4,4,0,2,,9.3,,,0,,,,,,,,,,,,,0,0,http://www.nw.ch/coronastatistik,0.0,0.0
251,2020-09-09 19:06:17,2020-03-12 02:00:00,,NW,Nidwalden,07,46.926755,8.405302,5,5,3,5,,11.63,,,0,,,,,,,,,,,,,1,0,http://www.nw.ch/coronastatistik,0.0,0.0
271,2020-09-09 19:06:17,2020-03-13 02:00:00,,NW,Nidwalden,07,46.926755,8.405302,5,5,1,6,,11.63,,,0,,,,,,,,,,,,,0,0,http://www.nw.ch/coronastatistik,0.0,0.0
291,2020-09-09 19:06:17,2020-03-14 02:00:00,,NW,Nidwalden,07,46.926755,8.405302,5,5,0,6,,11.63,,,0,,,,,,,,,,,,,0,0,http://www.nw.ch/coronastatistik,0.0,0.0
307,2020-09-09 19:06:17,2020-03-15 02:00:00,,NW,Nidwalden,07,46.926755,8.405302,8,8,0,6,,18.6,,,0,,,,,,,,,,,,,3,0,http://www.nw.ch/coronastatistik,0.0,0.0
328,2020-09-09 19:06:17,2020-03-16 02:00:00,,NW,Nidwalden,07,46.926755,8.405302,10,10,1,7,,23.26,,,0,,,,,,,,,,,,,2,0,http://www.nw.ch/coronastatistik,3.782354,0.0
347,2020-09-09 19:06:17,2020-03-17 02:00:00,,NW,Nidwalden,07,46.926755,8.405302,12,12,-1,6,,27.91,,,0,,,,,,,,,,,,,2,0,http://www.nw.ch/coronastatistik,3.95872,0.0
369,2020-09-09 19:06:17,2020-03-18 02:00:00,,NW,Nidwalden,07,46.926755,8.405302,18,18,0,6,,41.86,,,0,,,,,,,,,,,,,6,0,http://www.nw.ch/coronastatistik,2.705632,0.0
391,2020-09-09 19:06:17,2020-03-19 02:00:00,,NW,Nidwalden,07,46.926755,8.405302,25,25,-1,5,,58.14,,,0,,,,,,,,,,,,,7,0,http://www.nw.ch/coronastatistik,2.153383,0.0
413,2020-09-09 19:06:17,2020-03-20 02:00:00,,NW,Nidwalden,07,46.926755,8.405302,28,28,0,5,,65.12,,,0,,,,,,,,,,,,,3,0,http://www.nw.ch/coronastatistik,2.766474,0.0
436,2020-09-09 19:06:17,2020-03-21 02:00:00,,NW,Nidwalden,07,46.926755,8.405302,33,33,0,5,,76.74,,,0,,,,,,,,,,,,,5,0,http://www.nw.ch/coronastatistik,2.902815,0.0
456,2020-09-09 19:06:17,2020-03-22 02:00:00,,NW,Nidwalden,07,46.926755,8.405302,36,36,0,5,,83.72,,,0,,,,,,,,,,,,,3,0,http://www.nw.ch/coronastatistik,3.154649,0.0
477,2020-09-09 19:06:17,2020-03-23 02:00:00,,NW,Nidwalden,07,46.926755,8.405302,39,39,0,5,,90.7,,,0,,,,,,,,,,,,,3,0,http://www.nw.ch/coronastatistik,4.482386,0.0
503,2020-09-09 19:06:17,2020-03-24 02:00:00,,NW,Nidwalden,07,46.926755,8.405302,42,42,-1,4,,97.67,,,0,,,,,,,,,,,,,3,0,http://www.nw.ch/coronastatistik,6.680373,0.0
530,2020-09-09 19:06:17,2020-03-25 02:00:00,,NW,Nidwalden,07,46.926755,8.405302,44,44,-1,3,,102.33,,,0,,,,,,,,,,,,,2,0,http://www.nw.ch/coronastatistik,7.66781,0.0
556,2020-09-09 19:06:17,2020-03-26 02:00:00,,NW,Nidwalden,07,46.926755,8.405302,48,48,-1,2,,111.63,,,0,,,,,,,,,,,,,4,0,http://www.nw.ch/coronastatistik,9.249524,0.0
583,2020-09-09 19:06:17,2020-03-27 02:00:00,,NW,Nidwalden,07,46.926755,8.405302,54,54,1,3,,125.58,,,0,,,,,,,,,,,,,6,0,http://www.nw.ch/coronastatistik,8.547556,0.0
609,2020-09-09 19:06:17,2020-03-28 02:00:00,,NW,Nidwalden,07,46.926755,8.405302,55,55,1,4,,127.91,,,0,,,,,,,,,,,,,1,0,http://www.nw.ch/coronastatistik,10.081509,0.0
633,2020-09-09 19:06:17,2020-03-29 01:00:00,,NW,Nidwalden,07,46.926755,8.405302,59,59,0,4,,137.21,,,0,,,,,,,,,,,,,4,0,http://www.nw.ch/coronastatistik,10.197305,0.0
659,2020-09-09 19:06:17,2020-03-30 01:00:00,,NW,Nidwalden,07,46.926755,8.405302,63,63,4,8,,146.51,,,0,,,,,,,,,,,,,4,0,http://www.nw.ch/coronastatistik,9.655337,0.0
