,last_update,timestamp,tests_performed,abbreviation_canton,name_canton,number_canton,lat,long,total_positive_cases,total_currently_positive_cases,new_hosp,total_hospitalized,intensive_care,total_currently_positive_per_100k,deaths_per_100k,released,ncumul_ICU_intub,deaths,ncumul_vent,current_isolated,current_quarantined,current_quarantined_riskareatravel,current_quarantined_total,ncumul_ICF,TotalPosTests1,ninst_ICU_intub,ncumul_confirmed_non_resident,current_hosp_non_resident,diff_tested,current_hosp_resident,new_positive_cases,new_deaths,source,doubling_time_total_positive,doubling_time_fatalities
272,2020-08-24 21:05:30,2020-03-13 11:00:00,6,OW,Obwalden,06,46.804527,8.144317000000001,1,1,0,,,2.66,,,0,,,,,,,,,,,,,,0,0,https://www.ow.ch/de/aktuelles/aktuellesinformationen/amtsmitteilungen/welcome.php?action=showinfo&info_id=63566&ls=0&sq=&kategorie_id=&date_from=&date_to=,0.0,0.0
478,2020-08-24 21:05:30,2020-03-23 02:00:00,6,OW,Obwalden,06,46.804527,8.144317000000001,24,24,0,,,63.83,0.0,,0,0,,,,,,,,,,,,,23,0,https://www.ow.ch/dl.php/de/5f43bb160020c/OW-1103775-v1-Statistik_OW_Covid-19.XLSX,0.0,0.0
504,2020-08-24 21:05:30,2020-03-24 02:00:00,6,OW,Obwalden,06,46.804527,8.144317000000001,25,25,0,,,66.49,0.0,,0,0,,,,,,,,,,,,,1,0,https://www.ow.ch/dl.php/de/5f43bb160020c/OW-1103775-v1-Statistik_OW_Covid-19.XLSX,0.0,0.0
531,2020-08-24 21:05:30,2020-03-25 02:00:00,6,OW,Obwalden,06,46.804527,8.144317000000001,27,27,0,2,,71.81,0.0,,0,0,,,,,,,,,,,,,2,0,https://www.ow.ch/dl.php/de/5f43bb160020c/OW-1103775-v1-Statistik_OW_Covid-19.XLSX,0.0,0.0
557,2020-08-24 21:05:30,2020-03-26 02:00:00,6,OW,Obwalden,06,46.804527,8.144317000000001,30,30,1,3,,79.79,0.0,,0,0,,,,,,,,,,,,,3,0,https://www.ow.ch/dl.php/de/5f43bb160020c/OW-1103775-v1-Statistik_OW_Covid-19.XLSX,0.0,0.0
584,2020-08-24 21:05:30,2020-03-27 02:00:00,6,OW,Obwalden,06,46.804527,8.144317000000001,37,37,0,3,,98.4,0.0,,0,0,,,,,,,,,,,,,7,0,https://www.ow.ch/dl.php/de/5f43bb160020c/OW-1103775-v1-Statistik_OW_Covid-19.XLSX,0.959794,0.0
660,2020-08-24 21:05:30,2020-03-30 01:00:00,6,OW,Obwalden,06,46.804527,8.144317000000001,46,46,0,3,,122.34,0.0,,0,0,,,,,,,,,,,,,9,0,https://www.ow.ch/dl.php/de/5f43bb160020c/OW-1103775-v1-Statistik_OW_Covid-19.XLSX,5.327086,0.0
686,2020-08-24 21:05:30,2020-03-31 01:00:00,6,OW,Obwalden,06,46.804527,8.144317000000001,47,47,0,3,,125.0,0.0,,0,0,,,,,,,,,,,,,1,0,https://www.ow.ch/dl.php/de/5f43bb160020c/OW-1103775-v1-Statistik_OW_Covid-19.XLSX,5.490085,0.0
712,2020-08-24 21:05:30,2020-04-01 01:00:00,6,OW,Obwalden,06,46.804527,8.144317000000001,49,49,0,6,,130.32,0.0,,0,0,,,,,,,,,,,,,2,0,https://www.ow.ch/dl.php/de/5f43bb160020c/OW-1103775-v1-Statistik_OW_Covid-19.XLSX,5.815155,0.0
739,2020-08-24 21:05:30,2020-04-02 01:00:00,6,OW,Obwalden,06,46.804527,8.144317000000001,51,51,0,6,,135.64,0.0,,0,0,,,,,,,,,,,,,2,0,https://www.ow.ch/dl.php/de/5f43bb160020c/OW-1103775-v1-Statistik_OW_Covid-19.XLSX,6.531382,0.0
766,2020-08-24 21:05:30,2020-04-03 01:00:00,6,OW,Obwalden,06,46.804527,8.144317000000001,56,56,-3,3,,148.94,0.0,,0,0,,,,,,,,,,,,,5,0,https://www.ow.ch/dl.php/de/5f43bb160020c/OW-1103775-v1-Statistik_OW_Covid-19.XLSX,8.362581,0.0
842,2020-08-24 21:05:30,2020-04-06 01:00:00,6,OW,Obwalden,06,46.804527,8.144317000000001,60,60,-2,1,,159.57,0.0,1,0,0,,,,,,,,,,,,,4,0,https://www.ow.ch/dl.php/de/5f43bb160020c/OW-1103775-v1-Statistik_OW_Covid-19.XLSX,13.043638,0.0
869,2020-08-24 21:05:30,2020-04-07 01:00:00,6,OW,Obwalden,06,46.804527,8.144317000000001,60,60,1,2,,159.57,0.0,1,0,0,,,,,,,,,,,,,0,0,https://www.ow.ch/dl.php/de/5f43bb160020c/OW-1103775-v1-Statistik_OW_Covid-19.XLSX,14.192379,0.0
896,2020-08-24 21:05:30,2020-04-08 01:00:00,6,OW,Obwalden,06,46.804527,8.144317000000001,61,61,-1,1,,162.23,0.0,1,0,0,,,,,,,,,,,,,1,0,https://www.ow.ch/dl.php/de/5f43bb160020c/OW-1103775-v1-Statistik_OW_Covid-19.XLSX,15.821408,0.0
923,2020-08-24 21:05:30,2020-04-09 01:00:00,6,OW,Obwalden,06,46.804527,8.144317000000001,62,62,0,1,,164.89,0.0,1,0,0,,,,,,,,,,,,,1,0,https://www.ow.ch/dl.php/de/5f43bb160020c/OW-1103775-v1-Statistik_OW_Covid-19.XLSX,17.744908,0.0
1051,2020-08-24 21:05:30,2020-04-14 01:00:00,6,OW,Obwalden,06,46.804527,8.144317000000001,64,64,-1,0,,170.21,0.0,1,0,0,,,,,,,,,,,,,2,0,https://www.ow.ch/dl.php/de/5f43bb160020c/OW-1103775-v1-Statistik_OW_Covid-19.XLSX,25.954465,0.0
1078,2020-08-24 21:05:30,2020-04-15 01:00:00,6,OW,Obwalden,06,46.804527,8.144317000000001,64,64,0,0,,170.21,0.0,1,0,0,,,,,,,,,,,,,0,0,https://www.ow.ch/dl.php/de/5f43bb160020c/OW-1103775-v1-Statistik_OW_Covid-19.XLSX,53.700268,0.0
1105,2020-08-24 21:05:30,2020-04-16 01:00:00,6,OW,Obwalden,06,46.804527,8.144317000000001,65,65,0,0,,172.87,0.0,1,0,0,,,,,,,,,,,,,1,0,https://www.ow.ch/dl.php/de/5f43bb160020c/OW-1103775-v1-Statistik_OW_Covid-19.XLSX,43.298584,0.0
1132,2020-08-24 21:05:30,2020-04-17 01:00:00,6,OW,Obwalden,06,46.804527,8.144317000000001,66,66,0,0,,175.53,0.0,1,0,0,,,,,,,,,,,,,1,0,https://www.ow.ch/dl.php/de/5f43bb160020c/OW-1103775-v1-Statistik_OW_Covid-19.XLSX,43.992096,0.0
1208,2020-08-24 21:05:30,2020-04-20 01:00:00,6,OW,Obwalden,06,46.804527,8.144317000000001,67,67,0,0,,178.19,0.0,1,0,0,,,,,,,,,,,,,1,0,https://www.ow.ch/dl.php/de/5f43bb160020c/OW-1103775-v1-Statistik_OW_Covid-19.XLSX,44.685596,0.0
1235,2020-08-24 21:05:30,2020-04-21 01:00:00,6,OW,Obwalden,06,46.804527,8.144317000000001,67,67,0,0,,178.19,0.0,1,0,0,,,,,,,,,,,,,0,0,https://www.ow.ch/dl.php/de/5f43bb160020c/OW-1103775-v1-Statistik_OW_Covid-19.XLSX,75.655337,0.0
1262,2020-08-24 21:05:30,2020-04-22 01:00:00,6,OW,Obwalden,06,46.804527,8.144317000000001,67,67,0,0,,178.19,0.0,1,0,0,,,,,,,,,,,,,0,0,https://www.ow.ch/dl.php/de/5f43bb160020c/OW-1103775-v1-Statistik_OW_Covid-19.XLSX,75.655337,0.0
1289,2020-08-24 21:05:30,2020-04-23 01:00:00,6,OW,Obwalden,06,46.804527,8.144317000000001,68,68,0,0,,180.85,0.0,1,0,0,,,,,,,,,,,,,1,0,https://www.ow.ch/dl.php/de/5f43bb160020c/OW-1103775-v1-Statistik_OW_Covid-19.XLSX,76.810782,0.0
1316,2020-08-24 21:05:30,2020-04-24 01:00:00,6,OW,Obwalden,06,46.804527,8.144317000000001,71,71,0,0,,188.83,0.0,1,0,0,,,,,,,,,,,,,3,0,https://www.ow.ch/dl.php/de/5f43bb160020c/OW-1103775-v1-Statistik_OW_Covid-19.XLSX,47.459493,0.0
