,last_update,timestamp,tests_performed,abbreviation_canton,name_canton,number_canton,lat,long,total_positive_cases,total_currently_positive_cases,new_hosp,total_hospitalized,intensive_care,total_currently_positive_per_100k,deaths_per_100k,released,ncumul_ICU_intub,deaths,ncumul_vent,current_isolated,current_quarantined,current_quarantined_riskareatravel,current_quarantined_total,ncumul_ICF,TotalPosTests1,ninst_ICU_intub,ncumul_confirmed_non_resident,current_hosp_non_resident,diff_tested,current_hosp_resident,new_positive_cases,new_deaths,source,doubling_time_total_positive,doubling_time_fatalities
89,2020-08-18 23:05:25,2020-03-02 02:00:00,,SG,St. Gallen,17,47.1832,9.274744,0,0,0,,,0.0,,,0,,,,,,,,,,,,,,0,0,https://www.sg.ch/news/sgch_allgemein/2020/03/zwei-personen-in-quarantaene---kein-bestaetigter-fall.html,0.0,0.0
120,2020-08-18 23:05:25,2020-03-04 05:35:00,,SG,St. Gallen,17,47.1832,9.274744,1,1,0,,,0.2,,,0,,,,,,,,,,,,,,1,0,https://www.sg.ch/news/sgch_allgemein/2020/03/erster-bestaetigter-corona-fall-im-kanton-.html,0.0,0.0
152,2020-08-18 23:05:25,2020-03-06 14:38:00,,SG,St. Gallen,17,47.1832,9.274744,2,2,0,,,0.4,,,0,,,,,,,,,,,,,,1,0,https://www.sg.ch/news/sgch_allgemein/2020/03/zweiter-bestaetigter-fall-einer-corona-patientin.html,0.0,0.0
252,2020-08-18 23:05:25,2020-03-12 02:00:00,,SG,St. Gallen,17,47.1832,9.274744,15,15,0,,,2.97,,,0,,,,,,,,,,,,,,13,0,https://www.sg.ch/tools/informationen-coronavirus.html,0.0,0.0
348,2020-08-18 23:05:25,2020-03-17 02:00:00,,SG,St. Gallen,17,47.1832,9.274744,47,47,0,,,9.31,,,0,,,,,,,,,,,,,,32,0,https://www.sg.ch/tools/informationen-coronavirus.html,0.0,0.0
370,2020-08-18 23:05:25,2020-03-18 02:00:00,,SG,St. Gallen,17,47.1832,9.274744,61,61,0,,,12.09,,,0,,,,,,,,,,,,,,14,0,https://www.sg.ch/tools/informationen-coronavirus.html,0.0,0.0
392,2020-08-18 23:05:25,2020-03-19 02:00:00,,SG,St. Gallen,17,47.1832,9.274744,85,85,0,,,16.84,,,0,,,,,,,,,,,,,,24,0,https://www.sg.ch/tools/informationen-coronavirus.html,0.780105,0.0
414,2020-08-18 23:05:25,2020-03-20 02:00:00,,SG,St. Gallen,17,47.1832,9.274744,98,98,0,,,19.42,,,0,,,,,,,,,,,,,,13,0,https://www.sg.ch/tools/informationen-coronavirus.html,0.890518,0.0
479,2020-08-18 23:05:25,2020-03-23 02:00:00,,SG,St. Gallen,17,47.1832,9.274744,185,185,0,,,36.66,0.198,,0,1,,,,,,,,,,,,,87,0,https://www.sg.ch/tools/informationen-coronavirus.html,1.379504,0.0
505,2020-08-18 23:05:25,2020-03-24 02:00:00,,SG,St. Gallen,17,47.1832,9.274744,200,200,0,,,39.63,0.198,,0,1,,,,,,,,,,,,,15,0,https://www.sg.ch/tools/informationen-coronavirus.html,2.393183,0.0
532,2020-08-18 23:05:25,2020-03-25 02:00:00,,SG,St. Gallen,17,47.1832,9.274744,228,228,0,,,45.18,0.198,,0,1,,,,,,,,,,,,,28,0,https://www.sg.ch/tools/informationen-coronavirus.html,2.628601,0.0
558,2020-08-18 23:05:25,2020-03-26 02:00:00,,SG,St. Gallen,17,47.1832,9.274744,280,280,0,,,55.48,0.198,,0,1,,,,,,,,,,,,,52,0,https://www.sg.ch/tools/informationen-coronavirus.html,2.907159,0.0
585,2020-08-18 23:05:25,2020-03-27 02:00:00,,SG,St. Gallen,17,47.1832,9.274744,306,306,0,,,60.63,0.396,,0,2,,,,,,,,,,,,,26,1,https://www.sg.ch/tools/informationen-coronavirus.html,3.04381,0.0
