,last_update,timestamp,tests_performed,abbreviation_canton,name_canton,number_canton,lat,long,total_positive_cases,total_currently_positive_cases,new_hosp,total_hospitalized,intensive_care,total_currently_positive_per_100k,deaths_per_100k,released,ncumul_ICU_intub,deaths,ncumul_vent,current_isolated,current_quarantined,current_quarantined_riskareatravel,current_quarantined_total,ncumul_ICF,TotalPosTests1,ninst_ICU_intub,ncumul_confirmed_non_resident,current_hosp_non_resident,diff_tested,current_hosp_resident,new_positive_cases,new_deaths,source,doubling_time_total_positive,doubling_time_fatalities
233,2020-08-25 01:05:59,2020-03-11 02:00:00,,SH,Schaffhausen,14,47.71357,8.59167,1,1,0,,,1.23,0.0,,0,0,,,,,,,,,,,,,0,0,https://sh.ch/CMS/get/file/2f51bd36-7650-454b-9fec-2ebe41e47576,0.0,0.0
253,2020-08-25 01:05:59,2020-03-12 02:00:00,,SH,Schaffhausen,14,47.71357,8.59167,1,1,0,,,1.23,0.0,,0,0,,,,,,,,,,,,,0,0,https://sh.ch/CMS/get/file/2f51bd36-7650-454b-9fec-2ebe41e47576,0.0,0.0
273,2020-08-25 01:05:59,2020-03-13 02:00:00,,SH,Schaffhausen,14,47.71357,8.59167,1,1,0,,,1.23,0.0,,0,0,,,,,,,,,,,,,0,0,https://sh.ch/CMS/get/file/2f51bd36-7650-454b-9fec-2ebe41e47576,0.0,0.0
292,2020-08-25 01:05:59,2020-03-14 02:00:00,,SH,Schaffhausen,14,47.71357,8.59167,1,1,0,,,1.23,0.0,,0,0,,,,,,,,,,,,,0,0,https://sh.ch/CMS/get/file/2f51bd36-7650-454b-9fec-2ebe41e47576,0.0,0.0
308,2020-08-25 01:05:59,2020-03-15 02:00:00,,SH,Schaffhausen,14,47.71357,8.59167,1,1,0,,,1.23,0.0,,0,0,,,,,,,,,,,,,0,0,https://sh.ch/CMS/get/file/2f51bd36-7650-454b-9fec-2ebe41e47576,0.0,0.0
329,2020-08-25 01:05:59,2020-03-16 02:00:00,,SH,Schaffhausen,14,47.71357,8.59167,2,2,0,,,2.46,0.0,,0,0,,,,,,,,,,,,,1,0,https://sh.ch/CMS/get/file/2f51bd36-7650-454b-9fec-2ebe41e47576,5.0,0.0
349,2020-08-25 01:05:59,2020-03-17 02:00:00,,SH,Schaffhausen,14,47.71357,8.59167,2,2,0,,,2.46,0.0,,0,0,,,,,,,,,,,,,0,0,https://sh.ch/CMS/get/file/2f51bd36-7650-454b-9fec-2ebe41e47576,5.0,0.0
371,2020-08-25 01:05:59,2020-03-18 02:00:00,,SH,Schaffhausen,14,47.71357,8.59167,8,8,0,,,9.83,0.0,,0,0,,,,,,,,,,,,,6,0,https://sh.ch/CMS/get/file/2f51bd36-7650-454b-9fec-2ebe41e47576,1.666667,0.0
393,2020-08-25 01:05:59,2020-03-19 02:00:00,,SH,Schaffhausen,14,47.71357,8.59167,12,12,0,,,14.74,0.0,,0,0,,,,,,,,,,,,,4,0,https://sh.ch/CMS/get/file/2f51bd36-7650-454b-9fec-2ebe41e47576,1.394715,0.0
415,2020-08-25 01:05:59,2020-03-20 02:00:00,,SH,Schaffhausen,14,47.71357,8.59167,17,17,0,,,20.88,0.0,,0,0,,,,,,,,,,,,,5,0,https://sh.ch/CMS/get/file/2f51bd36-7650-454b-9fec-2ebe41e47576,1.223253,0.0
437,2020-08-25 01:05:59,2020-03-21 02:00:00,,SH,Schaffhausen,14,47.71357,8.59167,28,28,0,,,34.4,0.0,,0,0,,,,,,,,,,,,,11,0,https://sh.ch/CMS/get/file/2f51bd36-7650-454b-9fec-2ebe41e47576,1.313248,0.0
457,2020-08-25 01:05:59,2020-03-22 02:00:00,,SH,Schaffhausen,14,47.71357,8.59167,30,30,0,,,36.86,0.0,,0,0,,,,,,,,,,,,,2,0,https://sh.ch/CMS/get/file/2f51bd36-7650-454b-9fec-2ebe41e47576,1.27979,0.0
480,2020-08-25 01:05:59,2020-03-23 02:00:00,,SH,Schaffhausen,14,47.71357,8.59167,32,32,0,,,39.31,0.0,,0,0,,,,,,,,,,,,,2,0,https://sh.ch/CMS/get/file/2f51bd36-7650-454b-9fec-2ebe41e47576,2.5,0.0
506,2020-08-25 01:05:59,2020-03-24 02:00:00,,SH,Schaffhausen,14,47.71357,8.59167,34,34,0,,,41.77,0.0,,0,0,,,,,,,,,,,,,2,0,https://sh.ch/CMS/get/file/2f51bd36-7650-454b-9fec-2ebe41e47576,3.327786,0.0
533,2020-08-25 01:05:59,2020-03-25 02:00:00,,SH,Schaffhausen,14,47.71357,8.59167,35,35,0,10,1,43.0,0.0,,0,0,,,,,,,,,,,,,1,0,https://sh.ch/CMS/get/file/2f51bd36-7650-454b-9fec-2ebe41e47576,4.799293,0.0
559,2020-08-25 01:05:59,2020-03-26 02:00:00,,SH,Schaffhausen,14,47.71357,8.59167,36,36,-4,6,1,44.23,0.0,,0,0,,,,,,,,,,,,,1,0,https://sh.ch/CMS/get/file/2f51bd36-7650-454b-9fec-2ebe41e47576,13.790437,0.0
586,2020-08-25 01:05:59,2020-03-27 02:00:00,,SH,Schaffhausen,14,47.71357,8.59167,37,37,4,10,1,45.45,0.0,,0,0,,,,,,,,,,,,,1,0,https://sh.ch/CMS/get/file/2f51bd36-7650-454b-9fec-2ebe41e47576,16.525497,0.0
611,2020-08-25 01:05:59,2020-03-28 02:00:00,,SH,Schaffhausen,14,47.71357,8.59167,40,40,4,14,1,49.14,0.0,,0,0,,,,,,,,,,,,,3,0,https://sh.ch/CMS/get/file/2f51bd36-7650-454b-9fec-2ebe41e47576,15.531419,0.0
635,2020-08-25 01:05:59,2020-03-29 01:00:00,,SH,Schaffhausen,14,47.71357,8.59167,41,41,1,15,1,50.37,0.0,,0,0,,,,,,,,,,,,,1,0,https://sh.ch/CMS/get/file/2f51bd36-7650-454b-9fec-2ebe41e47576,18.512405,0.0
662,2020-08-25 01:05:59,2020-03-30 01:00:00,,SH,Schaffhausen,14,47.71357,8.59167,42,42,4,19,3,51.6,0.0,,0,0,,,,,,,,,,,,,1,0,https://sh.ch/CMS/get/file/2f51bd36-7650-454b-9fec-2ebe41e47576,19.00892,0.0
688,2020-08-25 01:05:59,2020-03-31 01:00:00,,SH,Schaffhausen,14,47.71357,8.59167,44,44,-1,18,3,54.05,1.229,,0,1,,,,,,,,,,,,,2,1,https://sh.ch/CMS/get/file/2f51bd36-7650-454b-9fec-2ebe41e47576,17.270762,0.0
