,last_update,timestamp,tests_performed,abbreviation_canton,name_canton,number_canton,lat,long,total_positive_cases,total_currently_positive_cases,new_hosp,total_hospitalized,intensive_care,total_currently_positive_per_100k,deaths_per_100k,released,ncumul_ICU_intub,deaths,ncumul_vent,ncumul_confirmed_non_resident,current_hosp_non_resident,TotalPosTests1,ninst_ICU_intub,ncumul_ICF,new_positive_cases,new_deaths,source,doubling_time_total_positive,doubling_time_fatalities
109,2020-05-16 19:03:29,2020-03-06 11:00:00,,SO,Solothurn,11,47.304135,7.639388,1,1,0,,,0.37,,,0,,,,,,,,0,0,https://so.ch/startseite/aktuell/news/erster-laborbestaetigter-covid-19-fall-im-kanton-solothurn/?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=3074bbdc8f0fcdcb9f1e11a21fc05e73,0.0,0.0
347,2020-05-16 19:03:29,2020-03-20 16:37:00,,SO,Solothurn,11,47.304135,7.639388,66,66,0,,,24.32,,,0,,,,,,,,65,0,https://twitter.com/KantonSolothurn/status/1241041303024041989?p=p,0.0,0.0
412,2020-05-16 19:03:29,2020-03-23 11:00:00,,SO,Solothurn,11,47.304135,7.639388,95,95,0,,,35.0,0.368,,0,1,,,,,,,29,0,https://corona.so.ch/,0.0,0.0
438,2020-05-16 19:03:29,2020-03-24 02:00:00,,SO,Solothurn,11,47.304135,7.639388,104,104,0,,,38.32,0.368,,0,1,,,,,,,9,0,https://corona.so.ch/,0.0,0.0
465,2020-05-16 19:03:29,2020-03-25 02:00:00,,SO,Solothurn,11,47.304135,7.639388,129,129,0,,,47.53,0.368,,0,1,,,,,,,25,0,https://corona.so.ch/,0.0,0.0
491,2020-05-16 19:03:29,2020-03-26 02:00:00,,SO,Solothurn,11,47.304135,7.639388,141,141,0,,,51.95,0.368,,0,1,,,,,,,12,0,https://corona.so.ch/,0.700324,0.0
518,2020-05-16 19:03:29,2020-03-27 02:00:00,,SO,Solothurn,11,47.304135,7.639388,157,157,0,,,57.85,0.368,,0,1,,,,,,,16,0,https://corona.so.ch/,3.999275,0.0
543,2020-05-16 19:03:29,2020-03-28 02:00:00,,SO,Solothurn,11,47.304135,7.639388,173,173,0,,,63.74,0.368,,0,1,,,,,,,16,0,https://corona.so.ch/,5.781867,
567,2020-05-16 19:03:29,2020-03-29 01:00:00,,SO,Solothurn,11,47.304135,7.639388,190,190,0,,,70.01,0.737,,0,2,,,,,,,17,1,https://corona.so.ch/,5.750988,5.0
620,2020-05-16 19:03:29,2020-03-31 01:00:00,,SO,Solothurn,11,47.304135,7.639388,196,196,0,,,72.22,0.737,,0,2,,,,,,,6,0,https://corona.so.ch/index.php?id=27979,8.285243,5.0
646,2020-05-16 19:03:29,2020-04-01 01:00:00,,SO,Solothurn,11,47.304135,7.639388,216,216,0,,,79.59,1.105,,0,3,,,,,,,20,1,https://corona.so.ch/index.php?id=27979,8.12564,3.154649
673,2020-05-16 19:03:29,2020-04-02 01:00:00,,SO,Solothurn,11,47.304135,7.639388,227,227,0,14,,83.64,1.105,,0,3,,,,,,,11,0,https://corona.so.ch/index.php?id=27979,9.399773,3.154649
700,2020-05-16 19:03:29,2020-04-03 01:00:00,,SO,Solothurn,11,47.304135,7.639388,237,237,3,17,,87.32,1.105,,0,3,,,,,,,10,0,https://corona.so.ch/index.php?id=27979,11.010426,3.154649
725,2020-05-16 19:03:29,2020-04-04 01:00:00,,SO,Solothurn,11,47.304135,7.639388,250,250,0,17,,92.11,1.105,,0,3,,,,,,,13,0,https://corona.so.ch/index.php?id=27979,12.628537,8.547556
749,2020-05-16 19:03:29,2020-04-05 01:00:00,,SO,Solothurn,11,47.304135,7.639388,258,258,0,16,,95.06,1.105,,0,3,,,,,,,8,0,https://corona.so.ch/index.php?id=27979,12.609787,8.547556
775,2020-05-16 19:03:29,2020-04-06 01:00:00,,SO,Solothurn,11,47.304135,7.639388,261,261,10,26,,96.17,1.105,,0,3,,,,,,,3,0,https://corona.so.ch/index.php?id=27979,18.313778,
802,2020-05-16 19:03:29,2020-04-07 01:00:00,,SO,Solothurn,11,47.304135,7.639388,264,264,3,29,,97.27,1.105,,0,3,,,,,,,3,0,https://corona.so.ch/index.php?id=27979,22.952032,
828,2020-05-16 19:03:29,2020-04-08 01:00:00,,SO,Solothurn,11,47.304135,7.639388,276,276,-7,22,,101.69,1.105,,0,3,,,,,,,12,0,https://corona.so.ch/index.php?id=27979,22.749898,
854,2020-05-16 19:03:29,2020-04-09 01:00:00,,SO,Solothurn,11,47.304135,7.639388,282,282,1,23,,103.91,1.842,,0,5,,,,,,,6,2,https://corona.so.ch/index.php?id=27979,28.774152,6.784577
879,2020-05-16 19:03:29,2020-04-10 01:00:00,,SO,Solothurn,11,47.304135,7.639388,294,294,-1,22,,108.33,1.842,,0,5,,,,,,,12,0,https://corona.so.ch/index.php?id=27979,26.532928,6.784577
905,2020-05-16 19:03:29,2020-04-11 01:00:00,,SO,Solothurn,11,47.304135,7.639388,306,306,0,22,,112.75,2.211,,0,6,,,,,,,12,1,https://corona.so.ch/index.php?id=27979,21.788216,5.0
929,2020-05-16 19:03:29,2020-04-12 01:00:00,,SO,Solothurn,11,47.304135,7.639388,315,315,0,23,,116.06,2.579,,0,7,,,,,,,9,1,https://corona.so.ch/index.php?id=27979,19.622164,4.090339
955,2020-05-16 19:03:29,2020-04-13 01:00:00,,SO,Solothurn,11,47.304135,7.639388,321,321,0,23,,118.28,2.579,,0,7,,,,,,,6,0,https://corona.so.ch/index.php?id=27979,22.945776,4.090339
981,2020-05-16 19:03:29,2020-04-14 01:00:00,,SO,Solothurn,11,47.304135,7.639388,325,325,-1,22,,119.75,2.948,,0,8,,,,,,,4,1,https://corona.so.ch/index.php?id=27979,24.420674,7.373849
1008,2020-05-16 19:03:29,2020-04-15 01:00:00,,SO,Solothurn,11,47.304135,7.639388,329,329,0,22,,121.22,2.948,,0,8,,,,,,,4,0,https://corona.so.ch/index.php?id=27979,30.812571,7.373849
1035,2020-05-16 19:03:29,2020-04-16 01:00:00,,SO,Solothurn,11,47.304135,7.639388,343,343,0,22,,126.38,2.948,,0,8,,,,,,,14,0,https://corona.so.ch/index.php?id=27979,30.362481,12.047104
1062,2020-05-16 19:03:29,2020-04-17 01:00:00,,SO,Solothurn,11,47.304135,7.639388,350,350,-2,20,,128.96,3.316,,0,9,,,,,,,7,1,https://corona.so.ch/index.php?id=27979,32.894067,13.790437
