,last_update,timestamp,tests_performed,abbreviation_canton,name_canton,number_canton,lat,long,total_positive_cases,total_currently_positive_cases,new_hosp,total_hospitalized,intensive_care,total_currently_positive_per_100k,deaths_per_100k,released,ncumul_ICU_intub,deaths,ncumul_vent,current_isolated,current_quarantined,TotalPosTests1,ninst_ICU_intub,ncumul_confirmed_non_resident,current_hosp_non_resident,ncumul_ICF,new_positive_cases,new_deaths,source,doubling_time_total_positive,doubling_time_fatalities
314,2020-06-23 04:04:44,2020-03-16 02:00:00,246,TG,Thurgau,01,47.568715,9.091957,17,17,0,,,6.21,,,0,,,,,,,,,,0,0,,0.0,0.0
334,2020-06-23 04:04:44,2020-03-17 02:00:00,276,TG,Thurgau,01,47.568715,9.091957,23,23,0,,,8.4,,,0,,,,,,,,,,6,0,,0.0,0.0
356,2020-06-23 04:04:44,2020-03-18 02:00:00,276,TG,Thurgau,01,47.568715,9.091957,32,32,0,,,11.69,,,0,,,,,,,,,,9,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,0.0,0.0
377,2020-06-23 04:04:44,2020-03-19 02:00:00,276,TG,Thurgau,01,47.568715,9.091957,37,37,0,,,13.51,,,0,,,,,,,,,,5,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,0.0,0.0
400,2020-06-23 04:04:44,2020-03-20 02:00:00,276,TG,Thurgau,01,47.568715,9.091957,50,50,0,,,18.26,,,0,,,,,,,,,,13,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,0.0,0.0
421,2020-06-23 04:04:44,2020-03-21 02:00:00,276,TG,Thurgau,01,47.568715,9.091957,57,57,0,,,20.82,,,0,,,,,,,,,,7,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,2.864628,0.0
441,2020-06-23 04:04:44,2020-03-22 02:00:00,276,TG,Thurgau,01,47.568715,9.091957,76,76,0,,,27.76,,,0,,,,,,,,,,19,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,2.899617,0.0
465,2020-06-23 04:04:44,2020-03-23 02:00:00,276,TG,Thurgau,01,47.568715,9.091957,82,82,0,,,29.95,,,0,,,,,,,,,,6,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,3.6831,0.0
492,2020-06-23 04:04:44,2020-03-24 02:00:00,276,TG,Thurgau,01,47.568715,9.091957,88,88,0,,,32.14,0.365,,0,1,,,,,,,,,6,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552 & https://www.tg.ch/news/news-detailseite.html/485/news/44925,4.00007,0.0
519,2020-06-23 04:04:44,2020-03-25 02:00:00,276,TG,Thurgau,01,47.568715,9.091957,97,97,0,,,35.43,0.365,,0,1,,,,,,,,,9,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,5.229816,0.0
