,last_update,timestamp,tests_performed,abbreviation_canton,name_canton,number_canton,lat,long,total_positive_cases,total_currently_positive_cases,new_hosp,total_hospitalized,intensive_care,total_currently_positive_per_100k,deaths_per_100k,released,ncumul_ICU_intub,deaths,ncumul_vent,current_isolated,current_quarantined,ncumul_confirmed_non_resident,current_hosp_non_resident,current_quarantined_riskareatravel,ncumul_ICF,TotalPosTests1,ninst_ICU_intub,new_positive_cases,new_deaths,source,doubling_time_total_positive,doubling_time_fatalities
33,2020-07-23 12:06:14,2020-02-25 02:00:00,,TI,Ticino,21,46.295617,8.808924,0,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,0,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,0.0,0.0
36,2020-07-23 12:06:14,2020-02-26 02:00:00,,TI,Ticino,21,46.295617,8.808924,1,1,0,0,0,0.28,0.0,0,0,0,0,,,,,,,,,1,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,0.0,0.0
42,2020-07-23 12:06:14,2020-02-27 02:00:00,,TI,Ticino,21,46.295617,8.808924,1,1,0,0,0,0.28,0.0,0,0,0,0,,,,,,,,,0,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,0.0,0.0
51,2020-07-23 12:06:14,2020-02-28 02:00:00,,TI,Ticino,21,46.295617,8.808924,1,1,0,0,0,0.28,0.0,0,0,0,0,,,,,,,,,0,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,0.0,0.0
60,2020-07-23 12:06:14,2020-02-29 02:00:00,,TI,Ticino,21,46.295617,8.808924,2,2,0,0,0,0.57,0.0,0,0,0,0,,,,,,,,,1,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,0.0,0.0
74,2020-07-23 12:06:14,2020-03-01 02:00:00,,TI,Ticino,21,46.295617,8.808924,2,2,0,0,0,0.57,0.0,0,0,0,0,,,,,,,,,0,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,0.0,0.0
90,2020-07-23 12:06:14,2020-03-02 02:00:00,,TI,Ticino,21,46.295617,8.808924,4,4,0,0,0,1.13,0.0,0,0,0,0,,,,,,,6.0,,2,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,2.5,0.0
104,2020-07-23 12:06:14,2020-03-03 02:00:00,,TI,Ticino,21,46.295617,8.808924,8,8,0,0,0,2.26,0.0,0,0,0,0,,,,,,,,,4,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,1.666667,0.0
122,2020-07-23 12:06:14,2020-03-04 02:00:00,,TI,Ticino,21,46.295617,8.808924,13,13,0,0,0,3.68,0.0,0,0,0,0,,,,,,,18.0,,5,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,1.351191,0.0
137,2020-07-23 12:06:14,2020-03-05 02:00:00,,TI,Ticino,21,46.295617,8.808924,25,25,0,0,0,7.07,0.0,0,0,0,0,,,,,,,,,12,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,1.372173,0.0
156,2020-07-23 12:06:14,2020-03-06 02:00:00,,TI,Ticino,21,46.295617,8.808924,28,28,0,0,0,7.92,0.0,0,0,0,0,,,,,,,45.0,,3,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,1.313248,0.0
170,2020-07-23 12:06:14,2020-03-07 02:00:00,,TI,Ticino,21,46.295617,8.808924,41,41,0,0,0,11.59,0.0,0,0,0,0,,,,,,,58.0,,13,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,1.48918,0.0
185,2020-07-23 12:06:14,2020-03-08 02:00:00,,TI,Ticino,21,46.295617,8.808924,49,49,0,0,0,13.85,0.0,0,0,0,0,,,,,,,68.0,,8,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,1.912258,0.0
202,2020-07-23 12:06:14,2020-03-09 02:00:00,,TI,Ticino,21,46.295617,8.808924,61,61,0,0,0,17.25,0.0,0,0,0,0,,,,,,,,,12,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,2.241853,0.0
217,2020-07-23 12:06:14,2020-03-10 02:00:00,,TI,Ticino,21,46.295617,8.808924,75,75,0,0,0,21.2,0.283,0,0,1,0,,,,,,,,,14,1,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,3.154649,0.0
235,2020-07-23 12:06:14,2020-03-11 02:00:00,,TI,Ticino,21,46.295617,8.808924,108,108,0,0,0,30.53,0.283,0,0,1,0,,,,,,,,,33,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,2.567351,0.0
255,2020-07-23 12:06:14,2020-03-12 02:00:00,,TI,Ticino,21,46.295617,8.808924,163,163,0,0,0,46.08,0.283,0,0,1,0,,,,,,,,,55,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,2.511079,0.0
276,2020-07-23 12:06:14,2020-03-13 02:00:00,,TI,Ticino,21,46.295617,8.808924,206,206,0,0,0,58.24,0.283,0,0,1,0,,,,,,,,,43,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,2.413371,0.0
294,2020-07-23 12:06:14,2020-03-14 02:00:00,,TI,Ticino,21,46.295617,8.808924,265,265,77,77,13,74.92,0.848,61,0,3,0,,,,,,,,,59,2,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,2.35948,0.0
311,2020-07-23 12:06:14,2020-03-15 02:00:00,,TI,Ticino,21,46.295617,8.808924,293,293,15,92,16,82.84,1.696,61,0,6,0,,,,,,,,,28,3,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,2.543315,1.934264
331,2020-07-23 12:06:14,2020-03-16 02:00:00,,TI,Ticino,21,46.295617,8.808924,368,368,20,112,18,104.04,2.262,61,0,8,0,,,,,,,,,75,2,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,2.826976,1.666667
351,2020-07-23 12:06:14,2020-03-17 02:00:00,,TI,Ticino,21,46.295617,8.808924,426,426,25,137,23,120.44,2.827,62,0,10,0,,,,,,,,,58,2,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,3.607552,1.50515
373,2020-07-23 12:06:14,2020-03-18 02:00:00,,TI,Ticino,21,46.295617,8.808924,511,511,26,163,29,144.47,3.393,62,0,12,28,,,,,,,,,85,2,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,3.814817,1.394715
395,2020-07-23 12:06:14,2020-03-19 02:00:00,,TI,Ticino,21,46.295617,8.808924,638,638,19,182,33,180.38,3.675,65,0,13,32,,,,,,,,,127,1,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,3.944574,2.363533
418,2020-07-23 12:06:14,2020-03-20 07:00:00,,TI,Ticino,21,46.295617,8.808924,849,849,8,190,35,240.03,6.22,67,0,22,34,,,,,,,,,211,9,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,3.257618,2.667422
439,2020-07-23 12:06:14,2020-03-21 07:00:00,,TI,Ticino,21,46.295617,8.808924,916,916,34,224,40,258.98,7.916,68,0,28,37,,,,,,,,37.0,67,6,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,3.800426,2.766474
459,2020-07-23 12:06:14,2020-03-22 07:00:00,,TI,Ticino,21,46.295617,8.808924,945,945,22,246,46,267.18,10.461,70,0,37,43,,,,,,,,43.0,29,9,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,4.349865,2.648971
483,2020-07-23 12:06:14,2020-03-23 07:00:00,,TI,Ticino,21,46.295617,8.808924,1162,1162,15,261,45,328.53,13.571,71,0,48,43,,,,,,,,43.0,217,11,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,4.218644,2.5
510,2020-07-23 12:06:14,2020-03-24 07:00:00,,TI,Ticino,21,46.295617,8.808924,1209,1209,24,285,50,341.82,14.984,80,0,53,48,,,,,,,,48.0,47,5,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,5.4219,2.466115
537,2020-07-23 12:06:14,2020-03-25 07:00:00,,TI,Ticino,21,46.295617,8.808924,1354,1354,21,306,57,382.81,16.964,85,0,60,55,,,,,,,,55.0,145,7,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,7.425104,3.454329
563,2020-07-23 12:06:14,2020-03-26 07:00:00,,TI,Ticino,21,46.295617,8.808924,1401,1401,52,358,60,396.1,18.943,91,0,67,56,,,,,,,,56.0,47,7,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,8.156109,3.972244
590,2020-07-23 12:06:14,2020-03-27 07:00:00,,TI,Ticino,21,46.295617,8.808924,1688,1688,28,386,61,477.24,21.487,107,0,76,51,,,,,,,,51.0,287,9,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,5.974225,4.814756
615,2020-07-23 12:06:14,2020-03-28 07:00:00,,TI,Ticino,21,46.295617,8.808924,1727,1727,-1,385,69,488.27,24.597,136,0,87,60,,,,,,,,60.0,39,11,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,8.746488,5.827635
639,2020-07-23 12:06:14,2020-03-29 06:00:00,,TI,Ticino,21,46.295617,8.808924,1837,1837,17,402,69,519.37,26.293,155,0,93,59,,,,,,,,59.0,110,6,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,8.284491,6.163417
665,2020-07-23 12:06:14,2020-03-30 06:00:00,,TI,Ticino,21,46.295617,8.808924,1962,1962,13,415,75,554.71,29.686,165,0,105,61,,,,,,,,61.0,125,12,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,9.344095,6.193063
692,2020-07-23 12:06:14,2020-03-31 06:00:00,,TI,Ticino,21,46.295617,8.808924,2091,2091,-14,401,74,591.18,33.927,202,0,120,67,,,,,,,,67.0,129,15,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,8.65447,5.946707
