,last_update,timestamp,tests_performed,abbreviation_canton,name_canton,number_canton,lat,long,total_positive_cases,total_currently_positive_cases,new_hosp,total_hospitalized,intensive_care,total_currently_positive_per_100k,deaths_per_100k,released,ncumul_ICU_intub,deaths,ncumul_vent,current_isolated,current_quarantined,ncumul_confirmed_non_resident,current_hosp_non_resident,TotalPosTests1,ninst_ICU_intub,ncumul_ICF,new_positive_cases,new_deaths,source,doubling_time_total_positive,doubling_time_fatalities
198,2020-06-08 15:03:58,2020-03-12 02:00:00,,UR,Uri,04,46.771849,8.628586,2,2,0,,,5.51,,,0,,,,,,,,,,0,0,,0.0,0.0
307,2020-06-08 15:03:58,2020-03-18 02:00:00,85,UR,Uri,04,46.771849,8.628586,5,5,0,,,13.77,,,0,,,,,,,,,,3,0,https://www.ur.ch/mmdirektionen/63802,0.0,0.0
328,2020-06-08 15:03:58,2020-03-19 02:00:00,85,UR,Uri,04,46.771849,8.628586,7,7,0,,,19.28,,,0,,,,,,,,,,2,0,https://www.ur.ch/mmdirektionen/63841,0.0,0.0
351,2020-06-08 15:03:58,2020-03-20 11:00:00,85,UR,Uri,04,46.771849,8.628586,7,7,0,,,19.28,,,0,,,,,,,,,,0,0,https://www.ur.ch/themen/2920,0.0,0.0
372,2020-06-08 15:03:58,2020-03-21 07:00:00,85,UR,Uri,04,46.771849,8.628586,12,12,0,,,33.06,,,0,,,,,,,,,,5,0,https://www.ur.ch/themen/2920,0.0,0.0
416,2020-06-08 15:03:58,2020-03-23 02:00:00,85,UR,Uri,04,46.771849,8.628586,22,22,0,1,,60.61,,1,0,,,,,,,,,,10,0,https://www.ur.ch/themen/2920,1.445324,0.0
443,2020-06-08 15:03:58,2020-03-24 11:00:00,85,UR,Uri,04,46.771849,8.628586,25,25,0,1,,68.87,,1,0,,,,,,,,,,3,0,https://www.ur.ch/themen/2920,2.153383,0.0
496,2020-06-08 15:03:58,2020-03-26 02:00:00,85,UR,Uri,04,46.771849,8.628586,38,38,3,4,,104.68,,2,0,,,,,,,,,,13,0,https://www.ur.ch/themen/2920,2.0487,0.0
523,2020-06-08 15:03:58,2020-03-27 02:00:00,85,UR,Uri,04,46.771849,8.628586,40,40,3,7,,110.19,,3,0,,,,,,,,,,2,0,https://www.ur.ch/themen/2920,1.988409,0.0
548,2020-06-08 15:03:58,2020-03-28 02:00:00,85,UR,Uri,04,46.771849,8.628586,48,48,0,7,,132.23,,3,0,,,,,,,,,,8,0,https://www.ur.ch/themen/2920,2.5,0.0
572,2020-06-08 15:03:58,2020-03-29 01:00:00,85,UR,Uri,04,46.771849,8.628586,50,50,0,7,,137.74,,3,0,,,,,,,,,,2,0,https://www.ur.ch/themen/2920,4.221459,0.0
598,2020-06-08 15:03:58,2020-03-30 01:00:00,85,UR,Uri,04,46.771849,8.628586,53,53,0,7,,146.01,,9,0,,,,,,,,,,3,0,https://www.ur.ch/themen/2920,4.612273,0.0
625,2020-06-08 15:03:58,2020-03-31 01:00:00,85,UR,Uri,04,46.771849,8.628586,57,57,2,9,,157.02,,11,0,,,,,,,,,,4,0,https://www.ur.ch/themen/2920,8.547556,0.0
651,2020-06-08 15:03:58,2020-04-01 01:00:00,85,UR,Uri,04,46.771849,8.628586,59,59,1,10,,162.53,2.755,13,0,1,,,,,,,,,2,0,https://www.ur.ch/themen/2920,8.917187,0.0
678,2020-06-08 15:03:58,2020-04-02 12:00:00,85,UR,Uri,04,46.771849,8.628586,60,60,-6,4,,165.29,2.755,13,0,1,,,,,,,,,1,0,https://www.ur.ch/themen/2920,15.531419,0.0
705,2020-06-08 15:03:58,2020-04-03 12:00:00,85,UR,Uri,04,46.771849,8.628586,62,62,2,6,,170.8,2.755,26,0,1,,,,,,,,,2,0,https://www.ur.ch/themen/2920,16.111355,0.0
730,2020-06-08 15:03:58,2020-04-04 15:00:00,85,UR,Uri,04,46.771849,8.628586,66,66,0,6,,181.82,2.755,26,0,1,,,,,,,,,4,0,https://www.ur.ch/themen/2920,15.799103,0.0
754,2020-06-08 15:03:58,2020-04-05 15:00:00,85,UR,Uri,04,46.771849,8.628586,67,67,-1,5,,184.57,5.51,26,0,2,,,,,,,,,1,1,https://www.ur.ch/themen/2920,21.440899,0.0
780,2020-06-08 15:03:58,2020-04-06 12:00:00,85,UR,Uri,04,46.771849,8.628586,67,67,4,9,,184.57,5.51,34,0,2,,,,,,,,,0,0,https://www.ur.ch/themen/2920,27.255956,5.0
807,2020-06-08 15:03:58,2020-04-07 12:00:00,85,UR,Uri,04,46.771849,8.628586,68,68,-2,7,,187.33,5.51,42,0,2,,,,,,,,,1,0,https://www.ur.ch/themen/2920,27.689748,5.0
833,2020-06-08 15:03:58,2020-04-08 12:00:00,85,UR,Uri,04,46.771849,8.628586,72,72,-2,5,,198.35,11.019,42,0,4,,,,,,,,,4,2,https://www.ur.ch/themen/2962,23.17726,2.5
859,2020-06-08 15:03:58,2020-04-09 12:00:00,85,UR,Uri,04,46.771849,8.628586,72,72,-1,4,,198.35,11.019,45,0,4,,,,,,,,,0,0,https://www.ur.ch/themen/2962,39.830836,2.5
884,2020-06-08 15:03:58,2020-04-10 14:00:00,85,UR,Uri,04,46.771849,8.628586,74,74,0,4,,203.86,11.019,49,0,4,,,,,,,,,2,0,https://www.ur.ch/themen/2962,34.876216,5.0
910,2020-06-08 15:03:58,2020-04-11 14:00:00,85,UR,Uri,04,46.771849,8.628586,75,75,4,8,,206.61,11.019,50,0,4,,,,,,,,,1,0,https://www.ur.ch/themen/2962,30.725836,5.0
934,2020-06-08 15:03:58,2020-04-12 13:00:00,85,UR,Uri,04,46.771849,8.628586,77,77,-3,5,,212.12,11.019,52,0,4,,,,,,,,,2,0,https://www.ur.ch/themen/2962,27.882539,5.0
960,2020-06-08 15:03:58,2020-04-13 12:00:00,85,UR,Uri,04,46.771849,8.628586,78,78,-1,4,,214.88,11.019,52,0,4,,,,,,,,,1,0,https://www.ur.ch/themen/2962,43.298584,
986,2020-06-08 15:03:58,2020-04-14 12:00:00,85,UR,Uri,04,46.771849,8.628586,78,78,-1,3,,214.88,11.019,56,0,4,,,,,,,,,0,0,https://www.ur.ch/themen/2962,43.298584,
1013,2020-06-08 15:03:58,2020-04-15 14:00:00,85,UR,Uri,04,46.771849,8.628586,78,78,0,3,,214.88,11.019,62,0,4,,,,,,,,,0,0,https://www.ur.ch/themen/2962,65.833779,
1040,2020-06-08 15:03:58,2020-04-16 13:00:00,85,UR,Uri,04,46.771849,8.628586,78,78,-1,2,,214.88,13.774,62,0,5,,,,,,,,,0,1,https://www.ur.ch/themen/2962,88.364938,15.531419
