,last_update,timestamp,tests_performed,abbreviation_canton,name_canton,number_canton,lat,long,total_positive_cases,total_currently_positive_cases,new_hosp,total_hospitalized,intensive_care,total_currently_positive_per_100k,deaths_per_100k,released,ncumul_ICU_intub,deaths,ncumul_vent,current_isolated,current_quarantined,current_quarantined_riskareatravel,current_quarantined_total,TotalPosTests1,ninst_ICU_intub,ncumul_ICF,ncumul_confirmed_non_resident,current_hosp_non_resident,current_hosp_resident,new_positive_cases,new_deaths,source,doubling_time_total_positive,doubling_time_fatalities
52,2020-09-02 22:05:47,2020-02-28 02:00:00,,VD,Vaud,22,46.570091,6.557809000000001,,,0,4,,,,,0,,,,,,,,,,,,,0,0,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/,0.0,0.0
61,2020-09-02 22:05:47,2020-02-29 02:00:00,,VD,Vaud,22,46.570091,6.557809000000001,,,0,4,,,,,0,,,,,,,,,,,,,0,0,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/,0.0,0.0
75,2020-09-02 22:05:47,2020-03-01 02:00:00,,VD,Vaud,22,46.570091,6.557809000000001,,,0,4,,,,,0,,,,,,,,,,,,,0,0,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/,0.0,0.0
91,2020-09-02 22:05:47,2020-03-02 02:00:00,,VD,Vaud,22,46.570091,6.557809000000001,,,2,6,,,,,0,,,,,,,,,,,,,0,0,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/,0.0,0.0
105,2020-09-02 22:05:47,2020-03-03 02:00:00,,VD,Vaud,22,46.570091,6.557809000000001,,,2,8,,,,,0,,,,,,,,,,,,,0,0,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/,0.0,0.0
123,2020-09-02 22:05:47,2020-03-04 02:00:00,,VD,Vaud,22,46.570091,6.557809000000001,,,3,11,1,,,,0,,,,,,,,,,,,,0,0,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/,0.0,0.0
138,2020-09-02 22:05:47,2020-03-05 02:00:00,,VD,Vaud,22,46.570091,6.557809000000001,,,3,14,1,,,,0,,,,,,,,,,,,,0,0,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/,0.0,0.0
157,2020-09-02 22:05:47,2020-03-06 02:00:00,,VD,Vaud,22,46.570091,6.557809000000001,23,23,1,15,2,2.9,0.126,,0,1,,,,,,,,,,,,0,0,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/,0.0,0.0
171,2020-09-02 22:05:47,2020-03-07 02:00:00,,VD,Vaud,22,46.570091,6.557809000000001,30,30,1,16,4,3.78,0.126,,0,1,,,,,,,,,,,,7,0,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/,0.0,0.0
186,2020-09-02 22:05:47,2020-03-08 02:00:00,,VD,Vaud,22,46.570091,6.557809000000001,40,40,6,22,3,5.04,0.126,,0,1,,,,,,,,,,,,10,0,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/,0.0,0.0
203,2020-09-02 22:05:47,2020-03-09 02:00:00,,VD,Vaud,22,46.570091,6.557809000000001,51,51,7,29,5,6.43,0.126,,0,1,,,,,,,,,,,,11,0,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/,0.0,0.0
218,2020-09-02 22:05:47,2020-03-10 02:00:00,,VD,Vaud,22,46.570091,6.557809000000001,130,130,40,69,9,16.39,0.126,,0,1,,,,,,,,,,,,79,0,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/point-de-situation-statistique-dans-le-canton-de-vaud/,0.0,0.0
236,2020-09-02 22:05:47,2020-03-11 02:00:00,,VD,Vaud,22,46.570091,6.557809000000001,203,203,4,73,9,25.6,0.126,,0,1,,,,,,,,,,,,73,0,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/point-de-situation-statistique-dans-le-canton-de-vaud/,1.591458,
257,2020-09-02 22:05:47,2020-03-12 02:00:00,,VD,Vaud,22,46.570091,6.557809000000001,277,277,9,82,10,34.93,0.378,,0,3,,,,,,,,,,,,74,2,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/point-de-situation-statistique-dans-le-canton-de-vaud/,1.559162,3.154649
277,2020-09-02 22:05:47,2020-03-13 02:00:00,,VD,Vaud,22,46.570091,6.557809000000001,370,370,5,87,11,46.65,0.378,,0,3,,,,,,,,,,,,93,0,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/point-de-situation-statistique-dans-le-canton-de-vaud/,1.557898,3.154649
295,2020-09-02 22:05:47,2020-03-14 02:00:00,,VD,Vaud,22,46.570091,6.557809000000001,477,477,9,96,13,60.14,0.63,,0,5,,,,,,,,,,,,107,2,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/point-de-situation-statistique-dans-le-canton-de-vaud/,1.550186,2.153383
312,2020-09-02 22:05:47,2020-03-15 02:00:00,,VD,Vaud,22,46.570091,6.557809000000001,566,566,18,114,13,71.37,0.757,,0,6,,,,,,,,,,,,89,1,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/point-de-situation-statistique-dans-le-canton-de-vaud/,2.355945,1.934264
332,2020-09-02 22:05:47,2020-03-16 02:00:00,,VD,Vaud,22,46.570091,6.557809000000001,796,796,38,152,20,100.37,1.135,,0,9,,,,,,,,,,,,230,3,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/point-de-situation-statistique-dans-le-canton-de-vaud/,2.536412,1.577324
