,last_update,timestamp,tests_performed,abbreviation_canton,name_canton,number_canton,lat,long,total_positive_cases,total_currently_positive_cases,new_hosp,total_hospitalized,intensive_care,total_currently_positive_per_100k,deaths_per_100k,released,ncumul_ICU_intub,deaths,ncumul_vent,current_isolated,current_quarantined,TotalPosTests1,ninst_ICU_intub,ncumul_confirmed_non_resident,current_hosp_non_resident,ncumul_ICF,new_positive_cases,new_deaths,source,doubling_time_total_positive,doubling_time_fatalities
53,2020-06-23 20:04:25,2020-02-28 02:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,1,1,0,6,0,0.29,0.0,0,0,0,0,,,,,,,,0,0,https://www.vs.ch/de/web/coronavirus,0.0,0.0
62,2020-06-23 20:04:25,2020-02-29 02:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,1,1,0,6,0,0.29,0.0,0,0,0,0,,,,,,,,0,0,https://www.vs.ch/de/web/coronavirus,0.0,0.0
75,2020-06-23 20:04:25,2020-03-01 02:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,2,2,1,7,0,0.59,0.0,0,0,0,0,,,,,,,,1,0,https://www.vs.ch/de/web/coronavirus,0.0,0.0
90,2020-06-23 20:04:25,2020-03-02 02:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,3,3,3,10,0,0.88,0.0,0,0,0,0,,,,,,,,1,0,https://www.vs.ch/de/web/coronavirus,0.0,0.0
104,2020-06-23 20:04:25,2020-03-03 02:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,3,3,2,12,0,0.88,0.0,0,0,0,0,,,,,,,,0,0,https://www.vs.ch/de/web/coronavirus,0.0,0.0
122,2020-06-23 20:04:25,2020-03-04 02:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,4,4,1,13,0,1.17,0.0,0,0,0,0,,,,,,,,1,0,https://www.vs.ch/de/web/coronavirus,2.5,0.0
137,2020-06-23 20:04:25,2020-03-05 02:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,5,5,-2,11,0,1.46,0.0,2,0,0,0,,,,,,,,1,0,https://www.vs.ch/de/web/coronavirus,2.153383,0.0
156,2020-06-23 20:04:25,2020-03-06 02:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,6,6,1,12,0,1.76,0.0,2,0,0,0,,,,,,,,1,0,https://www.vs.ch/de/web/coronavirus,3.154649,0.0
169,2020-06-23 20:04:25,2020-03-07 02:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,7,7,0,12,0,2.05,0.0,2,0,0,0,,,,,,,,1,0,https://www.vs.ch/de/web/coronavirus,4.090339,0.0
183,2020-06-23 20:04:25,2020-03-08 02:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,12,12,4,16,1,3.51,0.0,2,0,0,1,,,,,,,,5,0,https://www.vs.ch/de/web/coronavirus,2.5,0.0
200,2020-06-23 20:04:25,2020-03-09 02:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,17,17,1,17,1,4.98,0.0,2,0,0,1,,,,,,,,5,0,https://www.vs.ch/de/web/coronavirus,2.395252,0.0
215,2020-06-23 20:04:25,2020-03-10 02:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,22,22,3,20,1,6.44,0.0,2,0,0,1,,,,,,,,5,0,https://www.vs.ch/de/web/coronavirus,2.339177,0.0
233,2020-06-23 20:04:25,2020-03-11 02:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,30,30,1,21,1,8.78,0.0,3,0,0,1,,,,,,,,8,0,https://www.vs.ch/de/web/coronavirus,2.153383,0.0
254,2020-06-23 20:04:25,2020-03-12 02:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,53,53,7,28,1,15.52,0.0,3,0,0,1,,,,,,,,23,0,https://www.vs.ch/de/web/coronavirus,1.711997,0.0
273,2020-06-23 20:04:25,2020-03-13 02:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,76,76,2,30,1,22.25,0.293,5,0,1,1,,,,,,,,23,1,https://www.vs.ch/de/web/coronavirus,1.877606,0.0
291,2020-06-23 20:04:25,2020-03-14 02:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,98,98,4,34,1,28.7,0.293,6,0,1,1,,,,,,,,22,0,https://www.vs.ch/de/web/coronavirus,1.978437,0.0
308,2020-06-23 20:04:25,2020-03-15 02:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,115,115,2,36,1,33.67,0.586,6,0,2,1,,,,,,,,17,1,https://www.vs.ch/de/web/coronavirus,2.095506,0.0
327,2020-06-23 20:04:25,2020-03-16 02:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,172,172,6,42,2,50.37,0.878,8,0,3,1,,,,,,,,57,1,https://www.vs.ch/de/web/coronavirus,1.98462,0.0
347,2020-06-23 20:04:25,2020-03-17 02:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,225,225,5,47,2,65.89,0.878,11,0,3,2,,,,,,,,53,0,https://www.vs.ch/de/web/coronavirus,2.397092,0.0
370,2020-06-23 20:04:25,2020-03-18 02:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,312,312,12,59,2,91.36,1.171,11,0,4,2,,,,,,,,87,1,https://www.vs.ch/de/web/coronavirus,2.454018,2.5
391,2020-06-23 20:04:25,2020-03-19 02:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,349,349,5,64,5,102.2,1.757,12,0,6,5,,,,,,,,37,2,https://www.vs.ch/de/web/coronavirus,2.728702,1.934264
414,2020-06-23 20:04:25,2020-03-20 02:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,436,436,9,73,6,127.67,2.05,15,0,7,5,,,,,,,,87,1,https://www.vs.ch/de/web/coronavirus,2.600517,2.766474
435,2020-06-23 20:04:25,2020-03-21 02:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,498,498,10,83,8,145.83,2.928,17,0,10,6,,,,,,,,62,3,https://www.vs.ch/de/web/coronavirus,3.260011,2.878583
454,2020-06-23 20:04:25,2020-03-22 02:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,535,535,9,92,11,156.66,3.221,19,0,11,7,,,,,,,,37,1,https://www.vs.ch/de/web/coronavirus,4.001236,2.667422
479,2020-06-23 20:04:25,2020-03-23 02:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,628,628,12,104,12,183.89,3.807,24,0,13,9,,,,,,,,93,2,https://www.vs.ch/de/web/coronavirus,4.954328,2.940416
506,2020-06-23 20:04:25,2020-03-24 02:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,728,728,14,118,13,213.18,4.1,25,0,14,12,,,,,,,,100,1,https://www.vs.ch/de/web/coronavirus,4.713817,4.090339
532,2020-06-23 20:04:25,2020-03-25 02:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,793,793,1,119,15,232.21,4.392,35,0,15,14,,,,,,,,65,1,https://www.vs.ch/de/web/coronavirus,5.793792,4.547374
559,2020-06-23 20:04:25,2020-03-26 02:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,874,874,10,129,19,255.93,4.978,41,0,17,17,,,,,,,,81,2,https://www.vs.ch/de/web/coronavirus,6.161524,6.531382
586,2020-06-23 20:04:25,2020-03-27 02:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,968,968,9,138,20,283.46,6.149,50,0,21,16,,,,,,,,94,4,https://www.vs.ch/de/web/coronavirus,5.844753,5.359713
611,2020-06-23 20:04:25,2020-03-28 02:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,1017,1017,5,143,21,297.8,7.321,53,0,25,19,,,,,,,,49,4,https://www.vs.ch/de/web/coronavirus,7.189246,5.299886
635,2020-06-23 20:04:25,2020-03-29 01:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,1055,1055,10,153,22,308.93,9.078,54,0,31,21,,,,,,,,38,6,https://www.vs.ch/de/web/coronavirus,9.341732,4.359801
661,2020-06-23 20:04:25,2020-03-30 01:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,1144,1144,1,154,25,334.99,10.249,71,0,35,23,,,,,,,,89,4,https://www.vs.ch/de/web/coronavirus,9.457261,4.090339
688,2020-06-23 20:04:25,2020-03-31 01:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,1211,1211,-1,153,24,354.61,10.835,81,0,37,23,,,,,,,,67,2,https://www.vs.ch/de/web/coronavirus,10.627135,4.456366
714,2020-06-23 20:04:25,2020-04-01 01:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,1282,1282,-6,147,26,375.4,11.713,96,0,40,25,,,,,,,,71,3,https://www.vs.ch/de/web/coronavirus,12.336014,5.378596
741,2020-06-23 20:04:25,2020-04-02 01:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,1334,1334,0,147,28,390.63,13.763,104,0,47,24,,,,,,,,52,7,https://www.vs.ch/de/web/coronavirus,12.773383,5.490085
768,2020-06-23 20:04:25,2020-04-03 01:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,1385,1385,0,147,26,405.56,14.934,109,0,51,23,,,,,,,,51,4,https://www.vs.ch/de/web/coronavirus,12.734215,6.961568
793,2020-06-23 20:04:25,2020-04-04 01:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,1418,1418,3,150,28,415.23,15.52,112,0,53,23,,,,,,,,33,2,https://www.vs.ch/de/web/coronavirus,16.140983,8.352301
817,2020-06-23 20:04:25,2020-04-05 01:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,1433,1433,-3,147,26,419.62,16.691,115,0,57,23,,,,,,,,15,4,https://www.vs.ch/de/web/coronavirus,20.58971,8.020061
843,2020-06-23 20:04:25,2020-04-06 01:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,1499,1499,-13,134,26,438.95,17.57,134,0,60,22,,,,,,,,66,3,https://www.vs.ch/de/web/coronavirus,22.162716,8.547556
870,2020-06-23 20:04:25,2020-04-07 01:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,1538,1538,-4,130,25,450.37,19.912,143,0,68,20,,,,,,,,39,8,https://www.vs.ch/de/web/coronavirus,24.354978,9.383081
896,2020-06-23 20:04:25,2020-04-08 01:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,1573,1573,-7,123,26,460.61,20.791,152,0,71,20,,,,,,,,35,3,https://www.vs.ch/de/web/coronavirus,27.228267,10.475114
922,2020-06-23 20:04:25,2020-04-09 01:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,1602,1602,-5,118,24,469.11,22.548,160,0,77,19,,,,,,,,29,6,https://www.vs.ch/de/web/coronavirus,28.406409,9.278743
947,2020-06-23 20:04:25,2020-04-10 01:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,1631,1631,-2,116,24,477.6,24.305,166,0,83,18,,,,,,,,29,6,https://www.vs.ch/de/web/coronavirus,26.778326,9.22255
973,2020-06-23 20:04:25,2020-04-11 01:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,1657,1657,-3,113,20,485.21,24.89,169,0,85,15,,,,,,,,26,2,https://www.vs.ch/de/web/coronavirus,34.584552,9.950242
997,2020-06-23 20:04:25,2020-04-12 01:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,1670,1670,-2,111,22,489.02,26.647,173,0,91,14,,,,,,,,13,6,https://www.vs.ch/de/web/coronavirus,42.090164,11.895365
1023,2020-06-23 20:04:25,2020-04-13 01:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,1684,1684,-4,107,21,493.12,27.233,176,0,93,12,,,,,,,,14,2,https://www.vs.ch/de/web/coronavirus,50.826713,12.839882
1049,2020-06-23 20:04:25,2020-04-14 01:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,1711,1711,-7,100,20,501.02,27.526,187,0,94,11,,,,,,,,27,1,https://www.vs.ch/de/web/coronavirus,52.650637,17.373036
1076,2020-06-23 20:04:25,2020-04-15 01:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,1727,1727,-6,94,20,505.71,27.526,195,0,94,12,,,,,,,,16,0,https://www.vs.ch/de/web/coronavirus,60.59776,27.847486
1103,2020-06-23 20:04:25,2020-04-16 01:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,1744,1744,-2,92,17,510.69,27.818,198,0,95,12,,,,,,,,17,1,https://www.vs.ch/de/web/coronavirus,67.726416,31.159507
1130,2020-06-23 20:04:25,2020-04-17 01:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,1764,1764,-7,85,16,516.54,28.99,204,0,99,10,,,,,,,,20,4,https://www.vs.ch/de/web/coronavirus,63.28917,41.131281
1154,2020-06-23 20:04:25,2020-04-18 01:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,1773,1773,-1,84,18,519.18,30.454,204,0,104,10,,,,,,,,9,5,https://www.vs.ch/de/web/coronavirus,67.294391,31.00181
1179,2020-06-23 20:04:25,2020-04-19 01:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,1780,1780,-2,82,16,521.23,31.332,205,0,107,9,,,,,,,,7,3,https://www.vs.ch/de/web/coronavirus,87.661655,26.755404
1206,2020-06-23 20:04:25,2020-04-20 01:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,1797,1797,-4,78,15,526.21,32.211,211,0,110,9,,,,,,,,17,3,https://www.vs.ch/de/web/coronavirus,87.226049,22.048688
1233,2020-06-23 20:04:25,2020-04-21 01:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,1804,1804,-4,74,14,528.26,33.675,213,0,115,10,,,,,,,,7,5,https://www.vs.ch/de/web/coronavirus,102.460489,18.139968
1260,2020-06-23 20:04:25,2020-04-22 01:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,1810,1810,1,75,13,530.01,34.553,216,0,118,10,,,,,,,,6,3,https://www.vs.ch/de/web/coronavirus,134.628871,19.740497
1287,2020-06-23 20:04:25,2020-04-23 01:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,1826,1826,-4,71,13,534.7,36.018,219,0,123,9,,,,,,,,16,5,https://www.vs.ch/de/web/coronavirus,117.663036,20.654774
1314,2020-06-23 20:04:25,2020-04-24 01:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,1835,1835,-3,68,14,537.34,37.189,223,0,127,9,,,,,,,,9,4,https://www.vs.ch/de/web/coronavirus,113.887896,20.225089
1338,2020-06-23 20:04:25,2020-04-25 01:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,1840,1840,2,70,14,538.8,37.775,224,0,129,9,,,,,,,,5,2,https://www.vs.ch/de/web/coronavirus,146.56156,21.751657
1361,2020-06-23 20:04:25,2020-04-26 01:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,1842,1842,2,72,15,539.39,38.36,224,0,131,8,,,,,,,,2,2,https://www.vs.ch/de/web/coronavirus,166.258099,26.605233
1388,2020-06-23 20:04:25,2020-04-27 01:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,1857,1857,-9,63,14,543.78,38.653,232,0,132,9,,,,,,,,15,1,https://www.vs.ch/de/web/coronavirus,135.193166,30.911697
1415,2020-06-23 20:04:25,2020-04-28 01:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,1868,1868,-4,59,13,547.0,39.531,236,0,135,8,,,,,,,,11,3,https://www.vs.ch/de/web/coronavirus,152.403295,37.229779
1442,2020-06-23 20:04:25,2020-04-29 01:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,1880,1880,-1,58,11,550.51,39.824,238,0,136,8,,,,,,,,12,1,https://www.vs.ch/de/web/coronavirus,143.050879,50.61848
1469,2020-06-23 20:04:25,2020-04-30 01:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,1887,1887,0,58,10,552.56,40.41,239,0,138,8,,,,,,,,7,2,https://www.vs.ch/de/web/coronavirus,137.405457,51.38894
1496,2020-06-23 20:04:25,2020-05-01 01:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,1892,1892,-2,56,10,554.03,40.41,241,0,138,8,,,,,,,,5,0,https://www.vs.ch/de/web/coronavirus,129.402844,66.576606
1520,2020-06-23 20:04:25,2020-05-02 01:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,1895,1895,0,56,10,554.9,40.996,241,0,140,8,,,,,,,,3,2,https://www.vs.ch/de/web/coronavirus,171.092059,58.900518
1544,2020-06-23 20:04:25,2020-05-03 01:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,1897,1897,1,57,10,555.49,41.581,241,0,142,8,,,,,,,,2,2,https://www.vs.ch/de/web/coronavirus,224.969614,68.557461
1571,2020-06-23 20:04:25,2020-05-04 01:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,1905,1905,-5,52,10,557.83,41.581,246,0,142,7,,,,,,,,8,0,https://www.vs.ch/de/web/coronavirus,262.352393,80.27708
1598,2020-06-23 20:04:25,2020-05-05 01:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,1907,1907,-4,48,8,558.42,42.753,248,0,146,6,,,,,,,,2,4,https://www.vs.ch/de/web/coronavirus,328.722005,61.500538
1625,2020-06-23 20:04:25,2020-05-06 01:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,1910,1910,-3,45,8,559.3,42.753,251,0,146,5,,,,,,,,3,0,https://www.vs.ch/de/web/coronavirus,366.017485,61.500538
1651,2020-06-23 20:04:25,2020-05-07 01:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,1912,1912,-5,40,8,559.88,42.753,256,0,146,5,,,,,,,,2,0,https://www.vs.ch/de/web/coronavirus,388.057908,82.58792
1677,2020-06-23 20:04:25,2020-05-08 01:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,1915,1915,-2,38,9,560.76,43.338,258,0,148,5,,,,,,,,3,2,https://www.vs.ch/de/web/coronavirus,366.980196,83.743332
1700,2020-06-23 20:04:25,2020-05-09 01:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,1916,1916,-1,37,10,561.05,43.338,259,0,148,7,,,,,,,,1,0,https://www.vs.ch/de/web/coronavirus,601.93365,83.743332
1721,2020-06-23 20:04:25,2020-05-10 01:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,1917,1917,1,38,10,561.35,43.338,259,0,148,7,,,,,,,,1,0,https://www.vs.ch/de/web/coronavirus,662.647194,254.727659
1748,2020-06-23 20:04:25,2020-05-11 01:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,1921,1921,0,38,10,562.52,43.924,259,0,150,7,,,,,,,,4,2,https://www.vs.ch/de/web/coronavirus,603.508989,128.224422
1775,2020-06-23 20:04:25,2020-05-12 01:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,1921,1921,-3,35,8,562.52,43.924,262,0,150,7,,,,,,,,0,0,https://www.vs.ch/de/web/coronavirus,738.00785,128.224422
1800,2020-06-23 20:04:25,2020-05-13 01:00:00,,VS,Valais/Wallis,23,46.209567,7.604659,1922,1922,-3,32,8,562.81,43.924,265,0,150,5,,,,,,,,1,0,https://www.vs.ch/de/web/coronavirus,949.858136,258.193448
