date,time,abbreviation_canton,tests_performed,total_positive_cases,total_hospitalized,intensive_care,ncumul_vent,ncumul_released,deaths,source,ncumul_ICF,ncumul_ICU_intub,ncumul_deceased_suspect,pos_tests_1,recovered,lat,long,name_canton,number_canton
2020-03-15,00:00,SZ,1,13,1,,,,,https://www.sz.ch/public/upload/assets/45590/MM_Coronavirus_15_3_2020.pdf,,,,,,47.061787,8.756585,Schwyz,05
2020-03-18,17:00,FR,30,11,,,,,1,https://www.fr.ch/de/sr/gesundheit/covid-19/covid-19-im-kanton-freiburg-ist-ein-erster-todesfall-zu-beklagen,,,,,,46.718391,7.074008,Fribourg,10
2020-03-19,00:00,AI,,6,1,,,,,Kantonaler Führungsstab Appenzell Innerrhoden,,,,,,47.317264,9.416754,Appenzell Innerrhoden,16
2020-03-20,00:00,ZG,,48,1,,,5.0,,https://www.zg.ch/behoerden/gesundheitsdirektion/direktionssekretariat/aktuell/coronavirus-ausreichende-testkapazitaeten-im-kanton-zug-vorhanden,,,,,,47.157296,8.537294,Zug,09
2020-03-22,00:00,FL,99,46,,,,,,https://www.regierung.li/media/attachments/139-46-faelle-0322.pdf?t=637204971345932209,,,,,,47.166667,9.509722,Fürstentum Lichtenstein,00
2020-03-22,13:30,GL,,31,3,,,,,https://www.gl.ch/verwaltung/finanzen-und-gesundheit/gesundheit/coronavirus.html/4817#Fallzahlen,,,,,,46.931042000000005,9.065751,Glarus,08
2020-03-22,00:00,GR,,266,27,,,,6,https://www.gr.ch/DE/institutionen/verwaltung/djsg/ga/coronavirus/info/Seiten/Start.aspx,,,,,,46.656248,9.628198,Graubünden,01
2020-03-22,17:00,JU,,51,,,,,,https://www.jura.ch/fr/Autorites/Coronavirus/Accueil/Coronavirus-Informations-officielles-a-la-population-jurassienne.html,,,,,,47.350744,7.156107,Jura,26
2020-03-22,16:25,NW,,36,,,,,,https://www.nw.ch/gesundheitsamtdienste/6044,,,,,,46.926755,8.405302,Nidwalden,07
2020-03-22,00:00,VD,,1782,203,23,,75.0,16,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/,,,,,,46.570091,6.557809000000001,Vaud,22
2020-03-23,15:00,AG,,241,10,3,2.0,,1,https://www.ag.ch/media/kanton_aargau/themen_1/coronavirus_1/lagebulletins/200323_KFS_Coronavirus_Lagebulletin_17.pdf,,,,,,47.40966,8.15688,Aargau,01
2020-03-23,10:00,AR,,30,7,,,,1,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/,,,,,,47.416351999999996,9.36791,Appenzell Ausserrhoden,15
2020-03-23,00:00,BE,,470,,,,,5,https://www.besondere-lage.sites.be.ch/besondere-lage_sites/de/index/corona/index.html,,,,,,46.823608,7.636667,Bern,02
2020-03-23,14:00,BL,,302,,,,,3,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/medienmitteilungen/update-289-bestaetigte-faelle-in-basel-landschaft-1,,,,,,47.45176,7.702414,Basel-Landschaft,13
2020-03-23,10:00,BS,235,376,56,,,78.0,5,https://www.coronavirus.bs.ch/nm/2020-tagesbulletin-coronavirus-376-bestaetigte-faelle-im-kanton-basel-stadt-gd.html,,,,,,47.564869,7.615259,Basel-Stadt,12
2020-03-23,12:00,GE,,1231,214,43,160.0,,9,https://www.ge.ch/document/covid-19-situation-epidemiologique-geneve/telecharger,11.0,41.0,5.0,,,46.220528,6.132935,Genève,25
2020-03-23,11:00,LU,,156,,,,,1,https://gesundheit.lu.ch/themen/Humanmedizin/Infektionskrankheiten/Coronavirus,,,,,,47.067763,8.1102,Luzern,03
2020-03-23,15:00,NE,,204,,,,,2,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Pages/Coronavirus.aspx,,,,,,46.995534,6.780126,Neuchatel,24
