date,intensive_care,total_hospitalized,total_currently_positive,recovered,deaths,total_positive,tests_performed,country
2020-02-25,0.0,0.0,1.0,0.0,0.0,1.0,0.0,CH
2020-02-26,0.0,0.0,1.0,0.0,0.0,1.0,0.0,CH
2020-02-27,0.0,0.0,2.0,0.0,0.0,2.0,3.0,CH
2020-02-28,0.0,4.0,6.0,0.0,0.0,6.0,3.0,CH
2020-02-29,0.0,4.0,7.0,0.0,0.0,7.0,3.0,CH
2020-03-01,0.0,4.0,9.0,0.0,0.0,9.0,33.0,CH
2020-03-02,0.0,6.0,14.0,0.0,0.0,14.0,268.0,CH
2020-03-03,0.0,8.0,30.0,0.0,0.0,30.0,680.0,CH
2020-03-04,1.0,12.0,39.0,0.0,0.0,39.0,684.0,CH
2020-03-05,1.0,15.0,66.0,0.0,0.0,66.0,686.0,CH
2020-03-06,2.0,16.0,112.0,0.0,1.0,112.0,693.0,CH
2020-03-07,4.0,17.0,138.0,0.0,1.0,138.0,693.0,CH
2020-03-08,3.0,23.0,166.0,0.0,2.0,166.0,693.0,CH
2020-03-09,5.0,30.0,196.0,0.0,2.0,196.0,1150.0,CH
2020-03-10,6.0,41.0,247.0,1.0,3.0,247.0,1163.0,CH
2020-03-11,7.0,43.0,307.0,7.0,4.0,307.0,1176.0,CH
2020-03-12,8.0,48.0,626.0,11.0,5.0,626.0,1183.0,CH
2020-03-13,23.0,122.0,854.0,11.0,7.0,854.0,1193.0,CH
2020-03-14,27.0,113.0,1025.0,11.0,10.0,1025.0,1226.0,CH
2020-03-15,32.0,132.0,1119.0,11.0,14.0,1119.0,1226.0,CH
2020-03-16,40.0,138.0,1629.0,11.0,22.0,1629.0,1472.0,CH
2020-03-17,48.0,197.0,2028.0,11.0,26.0,2028.0,1502.0,CH
2020-03-18,47.0,260.0,2847.0,11.0,32.0,2847.0,1587.0,CH
2020-03-19,71.0,379.0,3908.0,11.0,38.0,3908.0,1587.0,CH
2020-03-20,91.0,533.0,6215.0,11.0,66.0,6215.0,1587.0,CH
2020-03-21,99.0,586.0,6660.0,11.0,79.0,6660.0,1587.0,CH
2020-03-22,105.0,652.0,6766.0,11.0,94.0,6766.0,1587.0,CH
