last_update,timestamp,country,abbreviation_canton,name_canton,number_canton,lat,long,tests_performed,total_currently_positive_cases,total_positive_cases,new_positive_cases,total_hospitalized,intensive_care,total_currently_positive_per_100k,released,ncumul_ICU_intub,recovered,deaths,pos_tests_1,ncumul_vent,ninst_ICU_intub,ncumul_ICF,ncumul_deceased_suspect,doubling_time_total_positive,doubling_time_fatalities,source
2020-04-01 13:03:09,2020-03-31 13:00:00,CH,AG,Aargau,01,47.40966,8.15688,,499,499,0,85,25,74.37,4,0,,11,,25,,,,5.508952,2.03299,https://www.ag.ch/media/kanton_aargau/themen_1/coronavirus_1/lagebulletins/200331_KFS_Coronavirus_Lagebulletin_23.pdf
2020-04-01 13:03:09,2020-03-31 10:00:00,CH,AI,Appenzell Innerrhoden,16,47.317264,9.416754,,14,14,0,1,,86.96,,0,,,,,,,,7.844,0.0,https://www.ai.ch/themen/gesundheit-alter-und-soziales/gesundheitsfoerderung-und-praevention/uebertragbare-krankheiten/coronavirus
2020-04-01 13:03:09,2020-04-01 11:00:00,CH,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,,61,61,0,6,,110.51,,0,,2,,,,,,10.608825,,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/
2020-04-01 13:03:09,2020-04-01 06:00:00,CH,BE,Bern/Berne,02,46.823608,7.636667,,909,909,0,115,26,88.16,,0,,20,,21,,,,14.693071,3.782354,https://www.besondere-lage.sites.be.ch/besondere-lage_sites/de/index/corona/index.html
2020-04-01 13:03:09,2020-03-31 01:00:00,CH,BL,Basel-Landschaft,13,47.45176,7.702414,,561,561,0,,,195.47,,0,,10,,,,,,12.172624,5.0,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/amt-fur-gesundheit/medizinische-dienste/kantonsarztlicher-dienst/aktuelles/covid-19-faelle-kanton-basel-landschaft
2020-04-01 13:03:09,2020-04-01 08:00:00,CH,BS,Basel-Stadt,12,47.564869,7.615259,235,691,691,0,108,16,356.37,323,0,,18,,,,,,13.446428,10.649961,https://www.coronavirus.bs.ch/nm/2020-tagesbulletin-coronavirus-691-bestaetigte-faelle-im-kanton-basel-stadt-gd.html
2020-04-01 13:03:09,2020-03-31 01:00:00,CH,FL,Fürstentum Lichtenstein,00,47.166667,9.509722,900,68,68,0,,,176.17,1,0,,,,,,,,17.850263,0.0,https://www.regierung.li/media/attachments/160-coronavirus-68-personen-positiv.pdf?t=637212737830081294
2020-04-01 13:03:09,2020-04-01 01:00:00,CH,FR,Fribourg,10,46.718391,7.074008,30,525,525,0,81,23,166.61,,0,,23,,,,,,9.829041,8.108046,https://www.fr.ch/covid19/sante/covid-19/coronavirus-statistiques-evolution-de-la-situation-dans-le-canton
2020-04-01 13:03:09,2020-03-31 10:00:00,CH,GE,Genève,25,46.220528,6.132935,,2451,2451,0,405,64,494.95,241,0,,49,,49,49.0,20,,13.666682,4.327962,https://www.ge.ch/document/covid-19-situation-epidemiologique-geneve/telecharger
2020-04-01 13:03:09,2020-04-01 11:30:00,CH,GL,Glarus,08,46.931042000000005,9.065751,,56,56,0,5,,138.96,,0,,2,,,,,,13.120255,0.0,https://www.gl.ch/verwaltung/finanzen-und-gesundheit/gesundheit/coronavirus.html/4817#Fallzahlen
