last_update,timestamp,country,abbreviation_canton,name_canton,number_canton,lat,long,tests_performed,total_currently_positive_cases,total_positive_cases,new_hosp,total_hospitalized,total_currently_positive_per_100k,deaths_per_100k,released,ncumul_ICU_intub,deaths,intensive_care,ncumul_vent,current_isolated,current_quarantined,current_quarantined_riskareatravel,current_quarantined_total,ncumul_ICF,TotalPosTests1,ninst_ICU_intub,ncumul_confirmed_non_resident,current_hosp_non_resident,diff_tested,current_hosp_resident,new_positive_cases,new_deaths,doubling_time_total_positive,doubling_time_fatalities,source
2020-08-13 06:06:19,2020-08-11 01:00:00,CH,AG,Aargau,01,47.40966,8.15688,,1727,1727,0,2,257.38,7.452,1170,0,50,1,1,116.0,443.0,1377.0,,,,,,,,,29,0,99.703295,,https://www.ag.ch/de/themen_1/coronavirus_2/coronavirus.jsp
2020-08-13 06:06:19,2020-08-12 06:00:00,CH,AI,Appenzell Innerrhoden,16,47.317264,9.416754,,25,25,0,1,155.28,0.0,,0,0,,,0.0,3.0,40.0,43.0,,,,,,,,0,0,,0.0,https://www.ai.ch/themen/gesundheit-alter-und-soziales/gesundheitsfoerderung-und-praevention/uebertragbare-krankheiten/coronavirus
2020-08-13 06:06:19,2020-08-11 08:15:00,CH,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,,113,113,-2,1,204.71,5.435,,0,3,0,,6.0,23.0,114.0,137.0,,,,,,,,0,0,128.80208,,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/
2020-08-13 06:06:19,2020-08-12 06:00:00,CH,BE,Bern/Berne,02,46.823608,7.636667,,2234,2234,0,10,216.66,9.504,,0,98,3,1,,,,,,,,,,,,13,0,134.092194,337.906288,https://www.besondere-lage.sites.be.ch/besondere-lage_sites/de/index/corona/index.html
2020-08-13 06:06:19,2020-08-12 01:00:00,CH,BL,Basel-Landschaft,13,47.45176,7.702414,,957,957,0,1,333.45,12.195,888,0,35,0,0,25.0,72.0,335.0,407.0,,,,,,,,4,0,274.655926,,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/amt-fur-gesundheit/medizinische-dienste/kantonsarztlicher-dienst/aktuelles/covid-19-faelle-kanton-basel-landschaft
2020-08-13 06:06:19,2020-08-12 06:00:00,CH,BS,Basel-Stadt,12,47.564869,7.615259,235,1098,1098,0,8,566.27,27.334,1013,0,53,0,,32.0,43.0,497.0,540.0,,,,520.0,,,,6,0,236.099019,181.945634,https://www.gesundheit.bs.ch
2020-08-13 06:06:19,2020-08-12 01:00:00,CH,FL,Fürstentum Lichtenstein,00,47.166667,9.509722,900,90,90,,,233.16,2.591,87,0,1,,,,,,,,,,,,,,1,0,154.218757,,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-08-13 06:06:19,2020-08-11 01:00:00,CH,FR,Fribourg,10,46.718391,7.074008,30,1393,1393,1,2,442.08,26.976,158,0,85,1,,,,,,,,,,,,,4,0,239.651461,,https://www.fr.ch/sites/default/files/2020-08/200811_statistiques_situation_COVID_site_0.xlsx
2020-08-13 06:06:19,2020-08-12 01:00:00,CH,GE,Genève,25,46.220528,6.132935,58038,6369,6369,4,19,1286.15,59.774,949,0,296,2,1,,,,,2.0,,,,,,,0,0,147.404071,,https://www.ge.ch/document/21502/telecharger
2020-08-13 06:06:19,2020-08-12 10:00:00,CH,GL,Glarus,08,46.931042000000005,9.065751,,149,149,0,0,369.73,32.258,,0,13,,,,,,,,,,,,,,2,0,101.536204,,https://www.gl.ch/public/upload/assets/30317/COVID-19_Fallzahlen_Kanton_Glarus.xlsx
2020-08-13 06:06:19,2020-08-12 01:00:00,CH,GR,Graubünden/Grigioni,01,46.656248,9.628198,,946,946,0,0,478.02,25.265,,0,50,0,0,14.0,45.0,,,,,,,,,,0,0,466.634439,,https://services1.arcgis.com/YAuo6vcW85VPu7OE/arcgis/rest/services/Fallzahlen_Total_Kanton/FeatureServer/0/query?where=1%3D1&objectIds=&time=&resultType=none&outFields=*&returnHiddenFields=false&returnIdsOnly=false&returnUniqueIdsOnly=false&returnCountOnly=false&returnDistinctValues=false&cacheHint=false&orderByFields=Eingangs_Datum&groupByFieldsForStatistics=&outStatistics=&having=&resultOffset=&resultRecordCount=&sqlFormat=standard&f=pjson
2020-08-13 06:06:19,2020-08-12 01:00:00,CH,JU,Jura,26,47.350744,7.156107,,260,260,0,0,354.71,9.55,,0,7,0,,,,,,,,,,,,,0,0,,,https://www.jura.ch/Htdocs/Files/v/35017.xlsx/Departements/CHA/SIC/Carrousel/Coronavirus/Cornavirus/Chiffres/donnees_12_08.xlsx?download=1
2020-08-13 06:06:19,2020-08-12 01:00:00,CH,LU,Luzern,03,47.067763,8.1102,,940,940,1,9,231.24,5.166,,0,21,4,,51.0,128.0,,,,,,,,,,8,0,106.850823,,https://gesundheit.lu.ch/themen/Humanmedizin/Infektionskrankheiten/Coronavirus
2020-08-13 06:06:19,2020-08-11 01:00:00,CH,NE,Neuchâtel,24,46.995534,6.780126,,797,797,0,0,447.75,47.191,,0,84,0,0,,,,,,,,,,,,2,0,343.538158,289.385489,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Documents/Covid-19-Statistiques/COVID19_PublicationInternet.xlsx
2020-08-13 06:06:19,2020-08-12 01:00:00,CH,NW,Nidwalden,07,46.926755,8.405302,,131,131,0,0,304.65,6.977,,0,3,0,,,,,,,,,,,,,0,0,452.276322,,http://www.nw.ch/coronastatistik
2020-08-13 06:06:19,2020-08-12 01:00:00,CH,OW,Obwalden,06,46.804527,8.144317000000001,6,95,95,0,0,252.66,0.0,1,0,0,,,,,,,,,,,,,,0,0,327.508987,0.0,https://www.ow.ch/dl.php/de/5f34c91a520ff/OW-1103775-v1-Statistik_OW_Covid-19.XLSX
2020-08-13 06:06:19,2020-08-12 01:00:00,CH,SG,St. Gallen,17,47.1832,9.274744,,1099,1099,-3,9,217.75,7.926,226,0,40,5,5,,,,,,,,,,,,10,0,70.117834,,https://www.sg.ch/tools/informationen-coronavirus.html
2020-08-13 06:06:19,2020-08-12 07:30:00,CH,SH,Schaffhausen,14,47.71357,8.59167,,147,147,2,7,180.59,8.6,,0,7,2,,,,,,,,,,,,,8,0,30.075307,,https://sh.ch/CMS/get/file/87e94add-c075-4cbf-9d77-af16e57bff2f
2020-08-13 06:06:19,2020-08-11 23:00:00,CH,SO,Solothurn,11,47.304135,7.639388,,573,573,-1,1,211.13,6.632,,0,18,,,,,,,,,,,,,,10,0,66.730294,,https://corona.so.ch/index.php?id=27979
2020-08-13 06:06:19,2020-08-12 07:00:00,CH,SZ,Schwyz,05,47.061787,8.756585,10,429,429,0,1,272.73,15.893,384,0,25,,,,,,,,,,,,,,2,0,112.62753,,https://www.sz.ch/public/upload/assets/48097/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx
2020-08-13 06:06:19,2020-08-12 08:00:00,CH,TG,Thurgau,01,47.568715,9.091957,276,505,505,0,3,184.44,6.939,77,0,19,2,,,,,,,,,,,,,6,0,63.073361,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552
2020-08-13 06:06:19,2020-08-12 06:00:00,CH,TI,Ticino,21,46.295617,8.808924,,3460,3460,0,1,978.23,98.954,924,0,350,0,0,,,,,,,,,,,,2,0,797.695626,,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx
2020-08-13 06:06:19,2020-08-12 14:00:00,CH,UR,Uri,04,46.771849,8.628586,85,120,120,0,0,330.58,19.284,110,0,7,,,,70.0,,,,,,,,,,1,0,136.889256,,https://www.ur.ch/themen/2962
