date,time,abbreviation_canton,tests_performed,total_positive_cases,total_hospitalized,intensive_care,ncumul_vent,released,deaths,source,pos_tests_1,recovered,ncumul_ICU_intub,ncumul_ICF,ncumul_deceased_suspect,lat,long,name_canton,number_canton,total_currently_positive_per_100k
2020-02-25,00:00,GE,,,0.0,0.0,0.0,,,https://www.ge.ch/document/covid-19-situation-epidemiologique-geneve/telecharger,,,0.0,0.0,,46.220528,6.132935,Genève,25,
2020-02-25,00:00,TI,,1.0,,,,,,https://www.srf.ch/news/schweiz/tessiner-patient-erster-coronavirus-fall-in-der-schweiz,,,,,,46.295617,8.808924,Ticino,21,0.28
2020-02-26,00:00,GE,,1.0,1.0,0.0,0.0,,,https://www.ge.ch/document/covid-19-situation-epidemiologique-geneve/telecharger,,,0.0,0.0,,46.220528,6.132935,Genève,25,0.2
2020-02-26,00:00,TI,,1.0,,,,,,,,,,,,46.295617,8.808924,Ticino,21,0.28
2020-02-27,19:17,BS,,0.0,,,,,,https://www.coronavirus.bs.ch/nm/2020-coronavirus-erster-positiver-fall-in-basel-stadt-zweiter-positiv-getesteter-ausserkantonaler-fall-gd.html,,,,,,47.564869,7.615259,Basel-Stadt,12,0.0
2020-02-27,00:00,FL,3.0,,,,,,,https://www.regierung.li/media/attachments/83-verdachtsfaelle-negativ-getestet.pdf?t=637202562374055719,,,,,,47.166667,9.509722,Fürstentum Lichtenstein,00,
2020-02-27,00:00,GE,,1.0,1.0,0.0,0.0,,,https://www.ge.ch/document/covid-19-situation-epidemiologique-geneve/telecharger,,,0.0,0.0,,46.220528,6.132935,Genève,25,0.2
2020-02-27,00:00,TI,,1.0,,,,,,,,,,,,46.295617,8.808924,Ticino,21,0.28
2020-02-27,00:00,ZH,,1.0,,,,,,https://gd.zh.ch/internet/gesundheitsdirektion/de/themen/coronavirus.html#title-content-internet-gesundheitsdirektion-de-themen-coronavirus-jcr-content-contentPar-textimage_7,2.0,,,,,47.41275,8.65508,Zürich,01,0.07
2020-02-28,15:00,AG,,1.0,,,,,,https://www.ag.ch/media/kanton_aargau/themen_1/coronavirus_1/20200228_KFS_20200106_Coronavirus_Lagebulletin_AG_Unterschrieben.pdf,,,,,,47.40966,8.15688,Aargau,01,0.15
2020-02-28,00:00,BL,,1.0,,,,,,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/medienmitteilungen/neuer-coronavirus-covid-19-erster-bestaetigter-fall-aus-dem-kanton-basel-landschaft,,,,,,47.45176,7.702414,Basel-Landschaft,13,0.35
2020-02-28,10:15,BS,,0.0,,,,,,https://twitter.com/BR_Sprecher/status/1233316679863631873?s=20,,,,,,47.564869,7.615259,Basel-Stadt,12,0.0
2020-02-28,00:00,GE,,3.0,2.0,0.0,0.0,,,https://www.ge.ch/document/covid-19-situation-epidemiologique-geneve/telecharger,,,0.0,0.0,,46.220528,6.132935,Genève,25,0.61
2020-02-28,00:00,TI,,1.0,,,,,,,,,,,,46.295617,8.808924,Ticino,21,0.28
2020-02-28,00:00,VD,,,4.0,,,,,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/,,,,,,46.570091,6.557809000000001,Vaud,22,
2020-02-28,00:00,VS,,1.0,3.0,,,,,https://vs.ch/documents/529400/6767345/2020+02+28+-+Medienmitteilung+-+1.+Fall+Coronavirus+VS.pdf/37c4f942-c5d5-6ab5-64fd-83444de4eba5?t=1582923242156,,,,,,46.209567,7.604659,Valais,23,0.29
2020-02-28,00:00,ZH,,2.0,,,,,,https://gd.zh.ch/internet/gesundheitsdirektion/de/themen/coronavirus.html#title-content-internet-gesundheitsdirektion-de-themen-coronavirus-jcr-content-contentPar-textimage_7,9.0,,,,,47.41275,8.65508,Zürich,01,0.13
2020-02-29,00:00,BL,,2.0,,,,,,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/medienmitteilungen/weiterer-bestaetigter-fall-aus-dem-kanton-basel-landschaft,,,,,,47.45176,7.702414,Basel-Landschaft,13,0.7
2020-02-29,15:23,BS,,0.0,,,,,,https://twitter.com/BAG_OFSP_UFSP/status/1233759578241863681?s=20,,,,,,47.564869,7.615259,Basel-Stadt,12,0.0
2020-02-29,00:00,GE,,5.0,3.0,0.0,0.0,,,https://www.ge.ch/document/covid-19-situation-epidemiologique-geneve/telecharger,,,0.0,0.0,,46.220528,6.132935,Genève,25,1.01
2020-02-29,00:00,TI,,1.0,,,,,,,,,,,,46.295617,8.808924,Ticino,21,0.28
2020-02-29,00:00,VD,,,4.0,,,,,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/,,,,,,46.570091,6.557809000000001,Vaud,22,
2020-02-29,00:00,VS,,1.0,3.0,,,,,https://www.vs.ch/documents/6756452/7008787/Sit%20Epid%20-%20%C3%89tat%20Stand%2025.03.2020.pdf,,,,,,46.209567,7.604659,Valais,23,0.29
2020-03-01,00:00,BL,,2.0,,,,,,,,,,,,47.45176,7.702414,Basel-Landschaft,13,0.7
2020-03-01,17:29,BS,,1.0,,,,,,https://www.coronavirus.bs.ch/nm/2020-coronavirus-anzahl-der-getesteten-faelle-und-zwischenstand-kita-riehen-gd.html,,,,,,47.564869,7.615259,Basel-Stadt,12,0.52
2020-03-01,00:00,FR,30.0,1.0,,,,,,https://www.fr.ch/sites/default/files/2020-03/200301_commd_dsas_covid_cas_fr.pdf,,,,,,46.718391,7.074008,Fribourg,10,0.32
2020-03-01,00:00,GE,,7.0,3.0,0.0,0.0,,,https://www.ge.ch/document/covid-19-situation-epidemiologique-geneve/telecharger,,,0.0,0.0,,46.220528,6.132935,Genève,25,1.41
2020-03-01,00:00,GL,,0.0,,,,,,https://www.suedostschweiz.ch/ereignisse/2020-03-02/kantone-gehen-unterschiedlich-mit-dem-corona-virus-um,,,,,,46.931042000000005,9.065751,Glarus,08,0.0
2020-03-01,00:00,TI,,1.0,,,,,,,,,,,,46.295617,8.808924,Ticino,21,0.28
2020-03-01,00:00,VD,,,4.0,,,,,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/,,,,,,46.570091,6.557809000000001,Vaud,22,
2020-03-01,00:00,VS,,2.0,4.0,,,,,https://www.vs.ch/documents/6756452/7008787/Sit%20Epid%20-%20%C3%89tat%20Stand%2025.03.2020.pdf,,,,,,46.209567,7.604659,Valais,23,0.59
2020-03-02,18:00,AG,,2.0,,,,,,https://www.ag.ch/media/kanton_aargau/themen_1/coronavirus_1/200302_KFS_Coronavirus_Lagebulletin_2.pdf,,,,,,47.40966,8.15688,Aargau,01,0.3
2020-03-02,00:00,BL,,2.0,,,,,,,,,,,,47.45176,7.702414,Basel-Landschaft,13,0.7
2020-03-02,17:15,BS,235.0,3.0,,,,,,https://www.coronavirus.bs.ch/nm/2020-coronavirus-zwei-neue-positive-faelle-in-basel-stadt-gd.html,,,,,,47.564869,7.615259,Basel-Stadt,12,1.55
2020-03-02,00:00,FR,30.0,2.0,,,,,,https://www.fr.ch/sites/default/files/2020-03/200302_CommD_DSAS_covid_cas%20FR.pdf,,,,,,46.718391,7.074008,Fribourg,10,0.63
2020-03-02,00:00,GE,,7.0,3.0,0.0,0.0,,,https://www.ge.ch/document/covid-19-situation-epidemiologique-geneve/telecharger,,,0.0,0.0,,46.220528,6.132935,Genève,25,1.41
2020-03-02,00:00,SG,,0.0,,,,,,https://www.sg.ch/news/sgch_allgemein/2020/03/zwei-personen-in-quarantaene---kein-bestaetigter-fall.html,,,,,,47.1832,9.274744,St. Gallen,17,0.0
2020-03-02,00:00,TI,,2.0,,,,,,https://www4.ti.ch/area-media/comunicati/dettaglio-comunicato/?NEWS_ID=187352&tx_tichareamedia_comunicazioni%5Baction%5D=show&tx_tichareamedia_comunicazioni%5Bcontroller%5D=Comunicazioni&cHash=ea65dbcabb28d4711459f3b613bbc1b7,6.0,,,,,46.295617,8.808924,Ticino,21,0.57
2020-03-02,00:00,VD,,,6.0,,,,,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/,,,,,,46.570091,6.557809000000001,Vaud,22,
2020-03-02,00:00,VS,,3.0,4.0,,,,,https://www.vs.ch/documents/6756452/7008787/Sit%20Epid%20-%20%C3%89tat%20Stand%2025.03.2020.pdf,,,,,,46.209567,7.604659,Valais,23,0.88
2020-03-02,00:00,ZH,,2.0,,,,,,https://gd.zh.ch/internet/gesundheitsdirektion/de/themen/coronavirus.html#title-content-internet-gesundheitsdirektion-de-themen-coronavirus-jcr-content-contentPar-textimage_7,13.0,,,,,47.41275,8.65508,Zürich,01,0.13
2020-03-03,15:00,AG,,6.0,,,,,,https://www.ag.ch/media/kanton_aargau/themen_1/coronavirus_1/lagebulletins/200303_KFS_Coronavirus_Lagebulletin_3.pdf,,,,,,47.40966,8.15688,Aargau,01,0.89
2020-03-03,00:00,BL,,2.0,,,,,,,,,,,,47.45176,7.702414,Basel-Landschaft,13,0.7
2020-03-03,17:30,BS,235.0,3.0,,,,,,https://twitter.com/BAG_OFSP_UFSP/status/1234880556095213569?s=20,,,,,,47.564869,7.615259,Basel-Stadt,12,1.55
2020-03-03,00:00,FL,14.0,,,,,,,https://www.regierung.li/media/attachments/90-coronavirus.pdf?t=637202562374055719,,,,,,47.166667,9.509722,Fürstentum Lichtenstein,00,
2020-03-03,00:00,GE,,9.0,4.0,0.0,0.0,,,https://www.ge.ch/document/covid-19-situation-epidemiologique-geneve/telecharger,,,0.0,0.0,,46.220528,6.132935,Genève,25,1.82
2020-03-03,00:00,JU,,1.0,,,,,,https://www.jura.ch/fr/Autorites/Coronavirus/Chiffres/Evolution-des-cas-COVID-19-dans-le-Jura.html,,,,,,47.350744,7.156107,Jura,26,1.36
2020-03-03,00:00,SZ,1.0,1.0,,,,,,https://www.sz.ch/public/upload/assets/45351/MM_Coronavirus_4_3_2020.pdf,,,,,,47.061787,8.756585,Schwyz,05,0.64
2020-03-03,00:00,TI,,4.0,,,,,,https://www4.ti.ch/area-media/comunicati/dettaglio-comunicato/?NEWS_ID=187363&tx_tichareamedia_comunicazioni%5Baction%5D=show&tx_tichareamedia_comunicazioni%5Bcontroller%5D=Comunicazioni&cHash=b34e82602a39cad67a7f8d54150dcf70   https://www4.ti.ch/area-media/comunicati/dettaglio-comunicato/?NEWS_ID=187369&tx_tichareamedia_comunicazioni%5Baction%5D=show&tx_tichareamedia_comunicazioni%5Bcontroller%5D=Comunicazioni&cHash=3154d18e72821fc23d7b3c5cdfe9f9a3,6.0,,,,,46.295617,8.808924,Ticino,21,1.13
2020-03-03,00:00,VD,,,8.0,,,,,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/,,,,,,46.570091,6.557809000000001,Vaud,22,
2020-03-03,00:00,VS,,3.0,5.0,,,,,https://vs.ch/documents/529400/6789273/2020+03+03+-+Medienmitteilung+-+Best%C3%A4tigung+2.+Fall.pdf/9e063e45-70a1-682e-fc37-31d9685f71f1?t=1583233390225,,,,,,46.209567,7.604659,Valais,23,0.88
2020-03-03,00:00,ZG,,1.0,,,,,,https://www.zg.ch/behoerden/gesundheitsdirektion/direktionssekretariat/aktuell/coronavirus-sars-cov-2-erste-person-aus-dem-kanton-zug-infiziert,,,,,,47.157296,8.537294,Zug,09,0.8
2020-03-03,00:00,ZH,400.0,9.0,,,,,,https://gd.zh.ch/internet/gesundheitsdirektion/de/themen/coronavirus.html#title-content-internet-gesundheitsdirektion-de-themen-coronavirus-jcr-content-contentPar-textimage_7,19.0,,,,,47.41275,8.65508,Zürich,01,0.6
2020-03-04,15:00,AG,,7.0,,,,,,https://www.ag.ch/media/kanton_aargau/themen_1/coronavirus_1/lagebulletins/200304_KFS_Coronavirus_Lagebulletin_4.pdf,,,,,,47.40966,8.15688,Aargau,01,1.04
2020-03-04,00:00,BL,,2.0,,,,,,,,,,,,47.45176,7.702414,Basel-Landschaft,13,0.7
2020-03-04,17:20,BS,235.0,3.0,,,,,,https://twitter.com/BAG_OFSP_UFSP/status/1235240377134862336?s=20,,,,,,47.564869,7.615259,Basel-Stadt,12,1.55
2020-03-04,00:00,FL,16.0,1.0,,,,,,https://www.regierung.li/media/attachments/97-coronavirus.pdf?t=637202562374055719,,,,,,47.166667,9.509722,Fürstentum Lichtenstein,00,2.59
2020-03-04,00:00,FR,30.0,4.0,,,,,,https://www.fr.ch/sites/default/files/2020-03/200304_CommD_DSAS_covid_cas%20FR.pdf,,,,,,46.718391,7.074008,Fribourg,10,1.27
2020-03-04,00:00,GE,,9.0,4.0,0.0,0.0,,,https://www.ge.ch/document/covid-19-situation-epidemiologique-geneve/telecharger,,,0.0,0.0,,46.220528,6.132935,Genève,25,1.82
2020-03-04,00:00,JU,,1.0,,,,,,https://www.jura.ch/fr/Autorites/Coronavirus/Chiffres/Evolution-des-cas-COVID-19-dans-le-Jura.html,,,,,,47.350744,7.156107,Jura,26,1.36
2020-03-04,18:00,LU,,0.0,,,,,,https://web.archive.org/web/20200304173939/https://gesundheit.lu.ch/themen/Humanmedizin/Infektionskrankheiten/Coronavirus,,,,,,47.067763,8.1102,Luzern,03,0.0
2020-03-04,06:35,SG,,1.0,,,,,,https://www.sg.ch/news/sgch_allgemein/2020/03/erster-bestaetigter-corona-fall-im-kanton-.html,,,,,,47.1832,9.274744,St. Gallen,17,0.2
2020-03-04,00:00,SZ,3.0,3.0,1.0,,,,,https://www.sz.ch/public/upload/assets/45351/MM_Coronavirus_4_3_2020.pdf,,,,,,47.061787,8.756585,Schwyz,05,1.91
