date,last_update,country,tests_performed,total_currently_positive,total_positive,new_positive,old_positive,home_confinment,total_hospitalized,hospitalized_with_symptoms,intensive_care,recovered,released,deaths,doubling_time_total_positive,doubling_time_fatalities
2020-02-25,2020-03-31 11:03:24,CH,0,1,1,,0,0,0,0,0,0,0,0,0.0,0.0
2020-02-26,2020-03-31 11:03:24,CH,0,2,2,1,1,0,1,0,0,0,0,0,0.0,0.0
2020-02-27,2020-03-31 11:03:24,CH,3,3,3,1,2,0,1,0,0,0,0,0,0.0,0.0
2020-02-28,2020-03-31 11:03:24,CH,3,9,9,6,3,0,9,0,0,0,0,0,0.0,0.0
2020-02-29,2020-03-31 11:03:24,CH,3,12,12,3,9,0,10,0,0,0,0,0,0.0,0.0
2020-03-01,2020-03-31 11:03:24,CH,33,17,17,5,12,0,11,0,0,0,0,0,1.223253,0.0
2020-03-02,2020-03-31 11:03:24,CH,268,23,23,6,17,0,13,0,0,0,0,0,1.419019,0.0
2020-03-03,2020-03-31 11:03:24,CH,680,41,41,18,23,0,17,0,0,0,0,0,1.32535,0.0
2020-03-04,2020-03-31 11:03:24,CH,684,50,50,9,41,0,22,0,1,0,0,0,2.021075,0.0
2020-03-05,2020-03-31 11:03:24,CH,686,82,82,32,50,0,23,0,1,0,0,0,1.803368,0.0
2020-03-06,2020-03-31 11:03:24,CH,693,133,133,51,82,0,26,0,2,0,1,1,1.684739,0.0
2020-03-07,2020-03-31 11:03:24,CH,693,169,169,36,133,0,27,0,4,0,1,1,1.73773,0.0
2020-03-08,2020-03-31 11:03:24,CH,693,205,205,36,169,0,35,0,3,0,1,2,2.153383,0.0
2020-03-09,2020-03-31 11:03:24,CH,1150,245,245,40,205,0,50,0,9,0,2,3,2.180757,0.0
2020-03-10,2020-03-31 11:03:24,CH,1163,320,320,75,245,0,63,0,11,1,5,5,2.545337,0.0
2020-03-11,2020-03-31 11:03:24,CH,1176,409,409,89,320,0,83,0,16,7,10,6,3.085135,1.934264
2020-03-12,2020-03-31 11:03:24,CH,1183,762,762,353,409,0,93,0,17,11,11,7,2.301212,1.781036
2020-03-13,2020-03-31 11:03:24,CH,1193,1086,1086,324,762,0,182,0,33,11,16,8,2.078718,2.5
2020-03-14,2020-03-31 11:03:24,CH,1235,1401,1401,315,1086,0,183,0,38,11,16,12,1.987595,2.5
2020-03-15,2020-03-31 11:03:24,CH,1235,1612,1612,211,1401,0,210,0,47,11,16,18,2.143432,2.705632
2020-03-16,2020-03-31 11:03:24,CH,1481,2246,2246,634,1612,0,244,0,53,11,17,27,2.034849,2.304227
2020-03-17,2020-03-31 11:03:24,CH,1511,2797,2797,551,2246,0,304,0,71,11,42,30,2.665221,2.381479
2020-03-18,2020-03-31 11:03:24,CH,1596,3829,3829,1032,2797,0,384,0,76,11,60,38,2.75036,2.224271
2020-03-19,2020-03-31 11:03:24,CH,1596,5052,5052,1223,3829,0,527,0,99,11,104,44,2.702122,2.667422
2020-03-20,2020-03-31 11:03:24,CH,1596,6563,6563,1511,5052,0,601,0,104,11,121,67,2.468522,2.636902
2020-03-21,2020-03-31 11:03:24,CH,1596,7389,7389,826,6563,0,696,0,106,11,140,83,2.910325,3.08613
2020-03-22,2020-03-31 11:03:24,CH,1596,7993,7993,604,7389,0,844,0,127,11,161,101,3.300642,2.854988
2020-03-23,2020-03-31 11:03:24,CH,1596,9102,9102,1109,7993,0,923,0,153,11,188,130,4.002511,2.81779
2020-03-24,2020-03-31 11:03:24,CH,1596,10091,10091,989,9102,0,1044,0,162,11,329,150,5.009304,2.825837
2020-03-25,2020-03-31 11:03:24,CH,1596,11116,11116,1025,10091,0,1123,0,193,11,398,175,6.577127,3.609791
2020-03-26,2020-03-31 11:03:24,CH,2397,12313,12313,1197,11116,0,1417,0,248,11,482,221,6.786735,3.538913
2020-03-27,2020-03-31 11:03:24,CH,2397,13543,13543,1230,12313,0,1573,0,272,11,579,247,6.572562,3.875501
2020-03-28,2020-03-31 11:03:24,CH,2397,14556,14556,1013,13543,0,1681,0,305,11,635,283,7.381616,4.455175
2020-03-29,2020-03-31 11:03:24,CH,2397,15257,15257,701,14556,0,1748,0,317,11,686,316,8.383605,4.651327
2020-03-30,2020-03-31 11:03:24,CH,2397,15986,15986,729,15257,0,1962,0,357,11,761,359,9.538867,4.823327
2020-03-31,2020-03-31 11:03:24,CH,2397,16182,16182,196,15986,0,1955,0,359,11,1017,388,12.683672,6.157557
