date,time,abbreviation_canton_and_fl,ncumul_tested,ncumul_conf,new_hosp,current_hosp,current_icu,current_vent,ncumul_released,ncumul_deceased,source,current_isolated,current_quarantined,current_quarantined_riskareatravel,current_quarantined_total,ncumul_ICF,TotalPosTests1,ninst_ICU_intub,ncumul_confirmed_non_resident,current_hosp_non_resident,diff_tested,current_hosp_resident
2020-01-24,,GE,4.0,,,,,,,,https://www.ge.ch/document/20094/annexe/0,,,,,,,,,,,
2020-01-25,,GE,8.0,,,,,,,,https://www.ge.ch/document/21502/telecharger,,,,,,,,,,,
2020-01-26,,GE,11.0,,,,,,,,https://www.ge.ch/document/21502/telecharger,,,,,,,,,,,
2020-01-27,,GE,18.0,,,,,,,,https://www.ge.ch/document/21502/telecharger,,,,,,,,,,,
2020-01-28,,GE,27.0,,,,,,,,https://www.ge.ch/document/21502/telecharger,,,,,,,,,,,
2020-01-29,,GE,54.0,,,,,,,,https://www.ge.ch/document/21502/telecharger,,,,,,,,,,,
2020-01-30,,GE,76.0,,,,,,,,https://www.ge.ch/document/21502/telecharger,,,,,,,,,,,
2020-01-31,,GE,93.0,,,,,,,,https://www.ge.ch/document/21502/telecharger,,,,,,,,,,,
2020-02-01,,GE,109.0,,,,,,,,https://www.ge.ch/document/21502/telecharger,,,,,,,,,,,
2020-02-02,,GE,115.0,,,,,,,,https://www.ge.ch/document/21502/telecharger,,,,,,,,,,,
2020-02-03,,GE,136.0,,,,,,,,https://www.ge.ch/document/21502/telecharger,,,,,,,,,,,
2020-02-04,,GE,156.0,,,,,,,,https://www.ge.ch/document/21502/telecharger,,,,,,,,,,,
2020-02-05,,GE,169.0,,,,,,,,https://www.ge.ch/document/21502/telecharger,,,,,,,,,,,
2020-02-06,,GE,175.0,,,,,,,,https://www.ge.ch/document/21502/telecharger,,,,,,,,,,,
2020-02-07,,GE,183.0,,,,,,,,https://www.ge.ch/document/21502/telecharger,,,,,,,,,,,
2020-02-08,,GE,192.0,,,,,,,,https://www.ge.ch/document/21502/telecharger,,,,,,,,,,,
